facet,rho,rho_raw,basis,n_pairs,validity_raw,n_moves,n_pairs_v,validity
CB-LB-S_defense_penalty,0.13363755723020085,0.13483432528369357,partial,6689,0.11442446731225944,601,6689,0.12235143583787493
CB-S_interceptions,0.11755428627902019,0.12007287343622403,partial,1234,0.0672772945104729,90,1234,0.12106767160073308
CB-S_pass_rush,0.2308855130069377,0.1767108013104825,partial,254,0.38878400094921617,15,254,0.2391593899787419
CB-S_run,0.15787795542106833,0.1635770052898559,partial,3825,0.07659183906119695,355,3825,0.09468746289371642
CBS_core,0.1938080112920037,0.20001382783217342,partial,4222,0.15141095687247694,405,4222,0.1579067349839152
CB_catch_rate,0.2651632130672483,0.2420428821527702,partial,786,0.2543819506206653,48,786,0.225143776518142
CB_core,0.16827815509575592,0.17326451791046588,partial,1608,0.0036500837030226984,171,1608,0.055105448257074814
CB_coverage,0.1837734043408242,0.20404148668839595,partial,1874,0.1471428488062625,202,1874,0.15964904462989477
CB_pass_break_ups,0.0793117926730145,0.08841285607930964,partial,786,-0.02257262872877378,48,786,0.1120851317978463
CB_qb_rating_against,0.1563628728533988,0.14142485244845202,partial,786,0.05980656870918776,48,786,0.13866582900192975
DI-ED_defense_penalty,0.2741360451039858,0.28251492608103157,partial,4694,0.36540243237189635,400,4694,0.3440568851802738
DI-ED_tackle,0.1323739612748187,0.1384197823404907,partial,4439,0.2068351555711788,372,4439,0.20612933358019886
DI_core,0.37745008835842986,0.39745336104628004,partial,1777,0.31423539538406803,127,1777,0.2781448633579895
DI_pass_rush,0.44945197412917526,0.46798719213341694,partial,2024,0.335613089757382,148,2024,0.2969996707608651
DI_run,0.37657958654519585,0.42218303701873244,partial,2055,0.19627893848360695,149,2055,0.1978505075034681
DI_stops,0.3212089672649347,0.3544844326416303,partial,1792,0.22844263167556816,120,1792,0.21954616686241987
ED_core,0.4733730693370257,0.4942504072140644,partial,1763,0.4463765662177914,178,1763,0.38470681941569024
ED_qb_rating_against,0.17181917868099097,0.18395860859706736,partial,1512,0.19867950622402278,141,1512,0.19959703786942593
ED_run,0.2962848248432755,0.33240246000244783,partial,1725,0.212700987920042,165,1725,0.2097815877376637
ED_sacks,0.2824558420617407,0.28688834138008285,partial,1512,0.12454238123917347,141,1512,0.14759039795468087
LB_coverage,0.17047108131112165,0.18082977839871298,partial,1786,0.054917977697516294,136,1786,0.09986754694402863
LB_missed_tackle_rate,0.27051549499323496,0.2750944488669581,partial,1866,0.4677386353984045,139,1866,0.3875420329374152
LB_pass_rush,0.3004496535408707,0.28910972985862465,partial,1050,0.27142173571966355,70,1050,0.23926704411187577
LB_run,0.31278636148664346,0.33460520658041937,partial,1893,0.3243785280981097,140,1893,0.2875909408395138
LB_stops,0.2981036054210882,0.3031240388912009,partial,1617,0.20407814117711226,115,1617,0.20328103125448746
LB_tackle,0.25757866245556255,0.26332348618230483,partial,2100,0.43501618111050877,162,2100,0.3719721422255397
LB_tackles,0.28196735974811166,0.28913841425522147,partial,1871,0.2038140830281807,139,1871,0.20319272248786188
OL_pass_block,0.36687482408196576,0.40153124355970876,partial,3125,0.3065871314400462,232,3125,0.2850459203022538
OL_penalties,0.2551545777852385,0.2650751613938324,partial,3407,0.23467759603946864,249,3407,0.22828451666017827
OL_pressures_allowed,0.4198312479281052,0.42725553194187743,partial,2764,0.3919982316334988,209,2764,0.34956440388687227
OL_run_block,0.3645555421513707,0.4441551889277801,partial,3710,0.24086947504707817,268,3710,0.2337140656914157
OL_sacks_allowed,0.1904067921619978,0.1996902385441017,partial,2764,0.06586092658171469,209,2764,0.09617147914403631
QB-RB-TE-WR_offense_penalty,0.10773159822486916,0.10772939144215124,partial,3149,0.002171582990728239,373,3149,0.02982723946815019
QBWR_core,0.3478946289400906,0.408465099576216,partial,1776,0.21838527100879887,244,1776,0.21510263276419184
QBWRcfbd_core,0.09720056275264889,0.2441950569390127,partial,4459,0.03409866115836936,719,4459,0.047011722216989696
QB_btt_rate,0.31024592262443274,0.27962647819562425,partial,613,0.08914253167826276,99,613,0.13163713754915352
QB_hands_fumble,0.12205220941449782,0.1712883774769435,partial,740,-0.043729302108424496,124,740,0.06578909909873587
QB_pressure_to_sack_rate,0.4079758550487123,0.3805211161446659,partial,649,0.4170066197859255,109,649,0.34058530053747504
QB_run,0.2598165894570517,0.3614814963716178,partial,554,0.24074050002747496,80,554,0.2240316731168957
QB_sack_pct,0.47992460245041424,0.4696507513103464,partial,649,0.38949749529090283,109,649,0.32284272911760836
QB_twp_rate,0.22632952269108345,0.31560739496780366,partial,613,0.31403243118524854,99,613,0.2716629240346352
RB_breakaway_pct,0.27436064054330317,0.28666004859474115,partial,989,0.2694164459079643,97,989,0.2435578948231843
RB_core,0.36214324893562516,0.39094616055184256,partial,989,0.42392022589864337,97,989,0.33901564424417713
RB_hands_fumble,0.11978205710469439,0.12028322832279598,partial,1384,0.20838299827358583,142,1384,0.20641376232186429
RB_pass_route,0.250650263488018,0.25462173326405513,partial,1217,0.17948829437638947,133,1217,0.18641003827060726
RB_run,0.21188117550684846,0.28239095927884994,partial,1321,0.06122393872103436,135,1321,0.10446372287952327
RB_run_block,0.2041229462564155,0.19407071513263136,partial,820,-0.09733475195186206,53,820,0.10712561269174689
RB_yards_after_catch,0.25,0.25,raw,48,-0.5962970681339034,3,48,0.19214594022487935
RB_ypa,0.30869213976072507,0.3491796912540264,partial,989,0.25305616123177604,97,989,0.2334499482398069
S_catch_rate,0.14738319164844324,0.1054612497478307,partial,282,0.04246344930984758,17,282,0.16658536197967283
S_coverage,0.14678927084444013,0.15498603351915524,partial,1594,0.01570582591953414,126,1594,0.07572111989262742
S_yards,0.1334549165653755,0.14454655917541828,partial,1378,0.08860723305542119,109,1378,0.12877741205448703
TE_core,0.3836674853269627,0.41546854906494785,partial,903,0.5010559894262916,94,903,0.38444452753401825
TE_first_downs,0.30445184059731817,0.30445184059731817,raw,154,0.6680170992414665,14,154,0.28996531923713414
TE_hands_drop,0.1875906989251948,0.08215586843073061,partial,374,0.26328328656799715,45,374,0.22812325837835495
