model,features,rmse,mae,r2,r,calib,seconds,vs_benchmark
A current (hand-built facets),32.0,0.16532524481264466,0.13377667234936527,0.26350418360108385,0.5139608942743914,1.052262461226113,0.2,0.0
B selected ridge,34.55555555555556,0.16393284557057472,0.1324724807209326,0.2758577447283461,0.525356639394222,1.0231965882565448,2.0,-0.00139
C PCA + ridge,45.0,0.16367918211714366,0.13203473912250294,0.27809703128944385,0.5278163133051933,1.043915321089338,0.4,-0.00165
D interactions + ridge,51.888888888888886,0.16508968708340832,0.13334409547191842,0.26560142759721017,0.5154354893430927,0.9851689089199422,4.1,-0.00024
E elastic net,36.666666666666664,0.16520259872929044,0.13263805796715158,0.26459651311770926,0.5144489465695079,1.0154421624582948,3.0,-0.00012
F gradient boosting,86.0,0.17437135099889575,0.13962304725810845,0.18070142392884558,0.446709653711702,0.7651597742989612,7.6,0.00905
