season,team,f,massey,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2014,Air Force,0.15665230606855024,0.003969526473966737,12,8.0,0.6666666666666666,9,0.75
2014,Akron,-0.34138874211771697,-0.05223504580662829,11,5.0,0.4545454545454545,4,0.3636363636363636
2014,Alabama,0.7997098501908346,0.09088557203309709,13,10.5,0.8076923076923077,11,0.8461538461538461
2014,App State,0.12915254571110502,-0.002614837211786052,10,5.5,0.55,6,0.6
2014,Arizona,-0.09440038797898231,0.010976501211204408,14,8.0,0.5714285714285714,10,0.7142857142857143
2014,Arizona State,-0.10651126404661078,0.007213212984672569,12,8.5,0.7083333333333334,9,0.75
2014,Arkansas,0.3246202232266008,0.06334420472994623,12,8.0,0.6666666666666666,6,0.5
2014,Arkansas State,-0.06944097993369558,-0.011729417308939047,12,6.0,0.5,6,0.5
2014,Army,-0.10196231274261858,-0.023087048140325365,10,3.5,0.35,3,0.3
2014,Auburn,0.40152829249117417,0.07209930645241966,12,6.5,0.5416666666666666,7,0.5833333333333334
2014,BYU,0.029033798656211352,-0.008572277160359661,12,7.0,0.5833333333333334,7,0.5833333333333334
2014,Ball State,-0.1462560198414814,-0.028013396960148672,10,4.5,0.45,4,0.4
2014,Baylor,0.49933815683479743,0.061136369145298165,12,9.5,0.7916666666666666,10,0.8333333333333334
2014,Boise State,0.516533001249673,0.033032495554287486,14,11.0,0.7857142857142857,12,0.8571428571428571
2014,Boston College,-0.12792797021313734,-0.005164099522998492,12,6.5,0.5416666666666666,6,0.5
2014,Bowling Green,-0.17196550384727305,-0.021777338636498573,13,5.5,0.4230769230769231,7,0.5384615384615384
2014,Buffalo,0.322211126848591,0.014749586060667678,9,4.0,0.4444444444444444,3,0.3333333333333333
2014,California,-0.17091399622785888,0.005903098324510567,11,4.5,0.4090909090909091,4,0.3636363636363636
2014,Central Michigan,0.10320319570754316,-0.004631544859637703,12,6.0,0.5,6,0.5
2014,Cincinnati,0.16486284357054803,-0.007902097641465019,13,7.0,0.5384615384615384,9,0.6923076923076923
2014,Clemson,0.26217551170624886,0.02944776096442329,12,8.5,0.7083333333333334,9,0.75
2014,Colorado,-0.18842082560904774,-3.135972995665519e-05,12,3.5,0.2916666666666667,2,0.1666666666666666
2014,Colorado State,0.3902280188869319,0.02122259158661056,12,7.5,0.625,9,0.75
2014,Duke,-0.114912458621717,-0.021285655536382515,12,7.5,0.625,8,0.6666666666666666
2014,East Carolina,0.1469165037836264,-0.01757702804123192,12,8.0,0.6666666666666666,7,0.5833333333333334
2014,Eastern Michigan,-0.5433979237110356,-0.05181468813035643,11,1.0,0.0909090909090909,1,0.0909090909090909
2014,Florida,-0.03528518426915775,0.01596326509645827,11,6.0,0.5454545454545454,6,0.5454545454545454
2014,Florida Atlantic,-0.2936623384759631,-0.04020471669124177,12,4.0,0.3333333333333333,3,0.25
2014,Florida International,-0.46519782382549046,-0.06710360756618776,10,4.5,0.45,3,0.3
2014,Florida State,0.36135079578301366,0.03925190841382533,13,8.5,0.6538461538461539,12,0.9230769230769232
2014,Fresno State,-0.07969545061043662,-0.009051468898316107,13,5.0,0.3846153846153846,5,0.3846153846153846
2014,Georgia,0.44383471724636675,0.0582558004464201,12,9.5,0.7916666666666666,9,0.75
2014,Georgia Southern,0.2037164997002185,0.0055257039322501944,11,7.5,0.6818181818181818,8,0.7272727272727273
2014,Georgia State,-0.3605171949892946,-0.03469426907346345,11,1.5,0.1363636363636363,0,0.0
2014,Georgia Tech,0.024178439256858156,0.010820971195523782,13,10.0,0.7692307692307693,10,0.7692307692307693
2014,Hawai'i,-0.5737590287304918,-0.05572891254535031,12,4.5,0.375,3,0.25
2014,Houston,0.12501132617144925,-0.023457705981128993,12,8.0,0.6666666666666666,7,0.5833333333333334
2014,Idaho,-0.2223456895728431,-0.03175960501501458,11,2.0,0.1818181818181818,1,0.0909090909090909
2014,Illinois,-0.11211526443833608,0.0031616713759265265,12,3.0,0.25,5,0.4166666666666667
2014,Indiana,-0.18081905714223037,-0.008345598641947631,11,3.0,0.2727272727272727,3,0.2727272727272727
2014,Iowa,0.16870990865327462,0.016405711471914212,12,7.0,0.5833333333333334,6,0.5
2014,Iowa State,-0.5352431673727246,-0.015925140629397747,11,2.5,0.2272727272727272,2,0.1818181818181818
2014,Kansas,-0.4497545525720238,-0.013685836070529984,11,3.0,0.2727272727272727,2,0.1818181818181818
2014,Kansas State,0.3750372136820283,0.06039274240759418,12,7.5,0.625,8,0.6666666666666666
2014,Kent State,-0.42701388656270634,-0.04799263678149847,11,3.0,0.2727272727272727,2,0.1818181818181818
