season,team,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2014,Vanderbilt,11,2.0,0.18181818181818182,2,0.18181818181818182
2014,Temple,11,6.0,0.5454545454545454,5,0.45454545454545453
2014,UConn,11,1.5,0.13636363636363635,1,0.09090909090909091
2014,BYU,12,7.0,0.5833333333333334,7,0.5833333333333334
2014,UCF,12,7.5,0.625,8,0.6666666666666666
2014,Penn State,13,7.0,0.5384615384615384,7,0.5384615384615384
2014,Houston,12,8.0,0.6666666666666666,7,0.5833333333333334
2014,UTSA,12,4.0,0.3333333333333333,4,0.3333333333333333
2014,Tulsa,12,2.5,0.20833333333333334,2,0.16666666666666666
2014,Tulane,11,3.0,0.2727272727272727,2,0.18181818181818182
2014,Baylor,12,9.5,0.7916666666666666,10,0.8333333333333334
2014,SMU,12,1.0,0.08333333333333333,1,0.08333333333333333
2014,South Carolina,12,6.5,0.5416666666666666,6,0.5
2014,East Carolina,12,8.0,0.6666666666666666,7,0.5833333333333334
2014,UCLA,13,7.5,0.5769230769230769,10,0.7692307692307693
2014,Memphis,12,9.0,0.75,9,0.75
2014,North Texas,11,3.0,0.2727272727272727,3,0.2727272727272727
2014,South Florida,11,2.0,0.18181818181818182,3,0.2727272727272727
2014,Maryland,12,5.0,0.4166666666666667,6,0.5
2014,Navy,12,5.5,0.4583333333333333,7,0.5833333333333334
2014,Georgia Tech,13,10.0,0.7692307692307693,10,0.7692307692307693
2014,Oklahoma,13,9.0,0.6923076923076923,8,0.6153846153846154
2014,Cincinnati,13,7.0,0.5384615384615384,9,0.6923076923076923
2014,Toledo,12,7.5,0.625,8,0.6666666666666666
2014,Missouri,13,8.5,0.6538461538461539,10,0.7692307692307693
2014,Boise State,14,11.0,0.7857142857142857,12,0.8571428571428571
2014,Virginia Tech,12,7.5,0.625,6,0.5
2014,NC State,12,5.5,0.4583333333333333,7,0.5833333333333334
2014,Florida Atlantic,12,4.0,0.3333333333333333,3,0.25
2014,Miami (OH),11,3.0,0.2727272727272727,2,0.18181818181818182
2014,North Carolina,12,3.5,0.2916666666666667,5,0.4166666666666667
2014,Middle Tennessee,11,4.0,0.36363636363636365,5,0.45454545454545453
2014,Texas A&M,12,6.0,0.5,7,0.5833333333333334
2014,Duke,12,7.5,0.625,8,0.6666666666666666
2014,Ohio State,15,12.5,0.8333333333333334,14,0.9333333333333333
2014,Ole Miss,12,8.5,0.7083333333333334,8,0.6666666666666666
2014,TCU,12,10.0,0.8333333333333334,11,0.9166666666666666
2014,Wisconsin,13,10.0,0.7692307692307693,10,0.7692307692307693
2014,Rutgers,12,5.5,0.4583333333333333,7,0.5833333333333334
2014,Texas State,11,5.5,0.5,6,0.5454545454545454
2014,Colorado State,12,7.5,0.625,9,0.75
2014,Miami,12,6.0,0.5,5,0.4166666666666667
2014,Army,10,3.5,0.35,3,0.3
2014,Massachusetts,12,5.5,0.4583333333333333,3,0.25
2014,Boston College,12,6.5,0.5416666666666666,6,0.5
2014,Pittsburgh,12,7.0,0.5833333333333334,5,0.4166666666666667
2014,USC,13,8.5,0.6538461538461539,9,0.6923076923076923
2014,Clemson,12,8.5,0.7083333333333334,9,0.75
2014,Wake Forest,11,2.0,0.18181818181818182,2,0.18181818181818182
2014,Louisville,12,8.0,0.6666666666666666,8,0.6666666666666666
2014,Florida State,13,8.5,0.6538461538461539,12,0.9230769230769231
2014,Syracuse,11,2.5,0.22727272727272727,2,0.18181818181818182
2014,Georgia,12,9.5,0.7916666666666666,9,0.75
2014,Georgia State,11,1.5,0.13636363636363635,0,0.0
2014,Troy,11,3.5,0.3181818181818182,3,0.2727272727272727
2014,Kansas,11,3.0,0.2727272727272727,2,0.18181818181818182
2014,Virginia,11,5.5,0.5,4,0.36363636363636365
2014,Oklahoma State,12,5.0,0.4166666666666667,6,0.5
2014,Notre Dame,13,8.0,0.6153846153846154,8,0.6153846153846154
2014,Florida,11,6.0,0.5454545454545454,6,0.5454545454545454
