team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot
Wisconsin,DT,DT,label,DT,DEF,3,DeNigel Cooper,SO,True,True,6.0
UAB,FS,SAF,label,SAF,DEF,3,Daimir Hicks,FR,False,False,6.0
UCF,WR-SL,WR,label,WR,OFF,3,Jordyn Bridgewater,SO,False,True,8.0
UAB,LDE,EDGE,label,EDGE,DEF,3,Tylin Jackson,JR,True,True,5.0
UAB,RDE,EDGE,label,EDGE,DEF,3,J'Quan Mason,SO,False,True,6.0
UAB,NT,DT,label,DT,DEF,3,Sterling Sanders,FR,True,True,5.0
UAB,DT,DT,label,DT,DEF,3,Elijah Hall,SR,True,True,6.0
UAB,WLB,LB,label,LB,DEF,3,Mantrez Walker,FR,True,True,5.0
Auburn,TE,TE,label,TE,OFF,3,Xavier Newsom,SO,True,False,3.0
Wisconsin,LCB,CB,label,CB,DEF,3,Jahmare Washington,FR,False,True,5.0
Air Force,OLB,EDGE,bio,EDGE,DEF,3,Jalen Davis,JR,False,False,6.0
Air Force,DT,DT,label,,DEF,3,Charlie Gleason,SR,False,False,6.0
Jacksonville State,WR-Z,WR,label,WR,OFF,3,Jamill Williams,SR,True,True,8.0
Jacksonville State,WR-SL,WR,label,WR,OFF,3,Camdon Pitchford,FR,True,True,9.0
Kansas State,NT,DT,label,DT,DEF,3,Holden Bass,SO,False,True,5.0
Kansas State,DT,DT,label,DT,DEF,3,Patrick Tackie,JR,True,True,6.0
UConn,LT,OT,label,,OFF,3,Isiah Switzer,FR,True,True,11.0
UConn,LG,IOL,label,,OFF,3,Hill Greenlee,FR,False,True,12.0
UConn,RG,IOL,label,,OFF,3,Ben Mulholland,SO,True,True,13.0
UConn,RT,OT,label,,OFF,3,Nathan Pahanich,FR,True,True,14.0
Arkansas State,NT,DT,label,DT,DEF,3,TJ Spann,JR,True,False,5.0
Arkansas State,DT,DT,label,DT,DEF,3,Sam Hultz,JR,True,True,6.0
Auburn,RT,OT,label,,OFF,3,TJ Hedrick,FR,True,True,15.0
UAB,LCB,CB,label,CB,DEF,3,Isaiah Crozier,JR,True,True,5.0
UAB,RCB,CB,label,CB,DEF,3,Guylijah Theodule,JR,True,False,6.0
Kansas State,WLB,LB,label,LB,DEF,3,Asa Newsom,JR,False,True,5.0
Kansas State,MLB,LB,label,LB,DEF,3,Darien Whitaker Jr.,FR,False,True,6.0
Jacksonville State,LT,OT,label,,OFF,3,Nate Smith,JR,False,True,11.0
Jacksonville State,C,IOL,label,,OFF,3,Ryland Bragg,SO,False,True,12.0
Jacksonville State,RG,IOL,label,,OFF,3,Markevian Blake,FR,False,True,13.0
Jacksonville State,RT,OT,label,,OFF,3,J.R. Jernigan,SO,False,False,14.0
Kansas State,TE,TE,label,TE,OFF,3,Will Anciaux,JR,False,True,3.0
UCF,WR-Z,WR,label,WR,OFF,3,Jordan Nunuha,FR,False,False,7.0
UCF,RT,OT,label,,OFF,3,LaParka Langston,JR,True,True,9.0
Auburn,LT,OT,label,,OFF,3,Jacob Strand,SR,True,True,11.0
Auburn,LG,IOL,label,,OFF,3,Kenneth McManus IV,SO,True,False,12.0
Auburn,C,IOL,label,,OFF,3,Bear McWhorter,FR,False,False,13.0
Auburn,RG,IOL,label,,OFF,3,Parker Pritchett,FR,False,False,14.0
UConn,RB,RB,label,RB,OFF,3,Cyncir Bowers,JR,True,False,3.0
Kansas State,QB,QB,label,QB,OFF,3,Blake Barnett,SO,False,True,3.0
Kansas State,RB,RB,label,RB,OFF,3,Jay Harris,SR,True,True,3.0
Kansas State,LDE,EDGE,label,EDGE,DEF,3,Brad Stanyer,FR,False,True,5.0
Kansas State,RDE,EDGE,label,EDGE,DEF,3,Dalton Knapp,FR,False,True,6.0
Kansas State,WR-Z,WR,label,,OFF,3,Isaac Koch,SR,False,True,8.0
Kansas State,WR-SL,WR,label,WR,OFF,3,Sterling Lockett,SR,False,True,9.0
Kansas State,LG,IOL,label,IOL,OFF,3,Navarro Schunke,SO,False,True,11.0
UCF,MLB,LB,label,,DEF,3,Cole Kozlowski,SR,True,False,2.0
UCF,WLB,LB,label,LB,DEF,3,Rashad Henry,JR,True,True,5.0
UCF,LCB,CB,label,CB,DEF,3,Rukeem Stroud,FR,False,True,5.0
UCF,TE,TE,label,TE,OFF,3,Caden Piening,FR,False,True,3.0
UCF,QB,QB,label,QB,OFF,3,Kaleb Annett,SO,True,True,2.0
UCF,RB,RB,label,RB,OFF,3,Taevion Swint,FR,False,True,3.0
UCF,LDE,EDGE,label,EDGE,DEF,3,L A Jessie Harrold,FR,True,True,5.0
UCF,RDE,EDGE,label,EDGE,DEF,3,Aymeric Koumba,JR,True,True,6.0
Kansas State,C,IOL,label,,OFF,3,Michael Capria,SR,False,True,12.0
Kansas State,RG,IOL,label,,OFF,3,Keiton Jones,FR,True,True,13.0
Kansas,LCB,CB,label,CB,DEF,3,Elijah Cannon,SO,True,True,5.0
Kansas,FS,SAF,label,SAF,DEF,3,Christian Pritchett,JR,True,True,7.0
Kansas State,WR-X,WR,label,WR,OFF,3,Larry Porter IV,FR,False,True,7.0
Jacksonville State,TE,TE,label,TE,OFF,3,Luke Gilbert,SO,False,False,3.0
UCLA,WR-X,WR,label,WR,OFF,3,Marcus Harris,FR,True,True,7.0
Auburn,WR-X,WR,label,WR,OFF,3,Sam Turner,FR,False,True,7.0
Auburn,WR-Z,WR,label,WR,OFF,3,Christian Neptune,SO,True,False,8.0
Auburn,WR-H,WR,label,,OFF,3,Will Upton,JR,False,True,9.0
UCF,LDT,DT,label,LB,DEF,3,Josh Schell,SR,True,True,5.0
UCF,RDT,DT,label,DT,DEF,3,Artavius Jones,SO,True,True,6.0
Air Force,FB,RB,label,RB,OFF,3,Travis Wood,JR,False,False,3.0
Air Force,DE,EDGE,label,EDGE,DEF,3,Grady Forsythe,JR,False,False,5.0
Wisconsin,SS,SAF,label,SAF,DEF,3,Luke Emmerich,FR,False,True,7.0
Wisconsin,FS,SAF,label,SAF,DEF,3,Cairo Skanes,SO,False,False,8.0
Wisconsin,LOLB,LB,default,,DEF,3,Liam Danitz,SR,True,True,3.0
Jacksonville State,QB,QB,label,QB,OFF,3,Kadyn Mitchell,FR,False,True,3.0
Jacksonville State,RB,RB,label,RB,OFF,3,Justus Savage,SO,False,True,3.0
Kansas,LDE,EDGE,label,EDGE,DEF,3,Adrian Holley,FR,False,True,5.0
Kansas,RDE,EDGE,label,EDGE,DEF,3,Garrett Martin,FR,False,True,6.0
Kansas,DT,DT,label,DT,DEF,3,Kevin Oatis,FR,True,True,5.0
Kansas,WLB,LB,label,LB,DEF,3,Landyn Watson,SR,True,True,5.0
Kansas,MLB,LB,label,LB,DEF,3,Jaron Willis,SR,True,True,6.0
Kansas,RG,IOL,label,,OFF,3,Trezelle Jenkins Jr.,SO,True,False,13.0
Kansas,RT,OT,label,,OFF,3,Antonio Wilson,JR,True,True,14.0
Kansas,TE,TE,label,TE,OFF,3,Jailen Butler,SR,True,True,3.0
Kansas,QB,QB,label,QB,OFF,3,Chase Jenkins,JR,True,True,3.0
Kansas,RB,RB,label,RB,OFF,3,Jalen Dupree,SO,True,True,3.0
UCLA,LT,OT,label,,OFF,3,Jensen Somerville,SO,False,True,11.0
UCLA,LG,IOL,label,,OFF,3,Nehemiah Johnson,FR,False,True,12.0
UCLA,RG,IOL,label,,OFF,3,Julian Armella,SR,True,True,13.0
UCLA,RT,OT,label,,OFF,3,JD Rayner,FR,True,True,14.0
UCF,FS,SAF,label,SAF,DEF,3,Matt Irwin,JR,True,False,7.0
UCF,SS,SAF,label,SAF,DEF,3,Kahmel Johnson,SO,True,True,6.0
Jacksonville State,DE,EDGE,label,EDGE,DEF,3,Tae Floyd,JR,False,True,5.0
Jacksonville State,EDGE,EDGE,label,EDGE,DEF,3,Tristan Lyles,FR,False,False,6.0
Jacksonville State,NT,DT,label,DT,DEF,3,Christopher Johnson,FR,False,True,5.0
Jacksonville State,DT,DT,label,DT,DEF,3,Marquis Hood,SR,True,False,6.0
Kansas,WR-X,WR,label,,OFF,3,Bryson Hayes,FR,False,True,7.0
Kansas,WR-Z,WR,label,WR,OFF,3,Jackson Cook,FR,False,True,8.0
UCLA,QB,QB,label,QB,OFF,3,Colton Gumino,FR,False,True,3.0
UCLA,RB,RB,label,RB,OFF,3,Jaivian Thomas,SR,True,False,3.0
Army,TE,TE,label,TE,OFF,3,Brian Dyer,SR,False,False,3.0
