team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot
Wyoming,RCB,CB,label,CB,DEF,1,Logan Mackey,JR,True,True,2.0
Wyoming,LCB,CB,label,CB,DEF,1,Ian Bell,SR,False,False,1.0
Air Force,LG,IOL,label,,OFF,1,TJ Tarascio,SR,False,False,2.0
Air Force,C,IOL,label,,OFF,1,Rudy Varela,SR,False,False,3.0
Air Force,WR-Z,WR,label,WR,OFF,1,Matt Long,JR,False,False,2.0
Air Force,WR-X,WR,label,WR,OFF,1,Jonah Dawson,JR,False,False,1.0
Air Force,WR-SL,WR,label,WR,OFF,1,Astin Hange,JR,False,False,10.0
James Madison,WR-SL,WR,label,WR,OFF,1,Braeden Wisloski,SR,True,False,3.0
James Madison,WR-Z,WR,label,WR,OFF,1,Corey Scott,JR,True,True,2.0
James Madison,WR-X,WR,label,WR,OFF,1,Jeremiah Harrison,SO,True,False,1.0
Jacksonville State,NB,CB,default,,DEF,1,Rob Billings IV,JR,True,True,3.0
Jacksonville State,FS,SAF,label,SAF,DEF,1,Caleb Nix,SR,True,True,2.0
Jacksonville State,SS,SAF,label,SAF,DEF,1,Marc Woods,SO,False,True,1.0
James Madison,RT,OT,label,,OFF,1,Daniel Michel,JR,True,True,5.0
James Madison,RG,IOL,label,,OFF,1,DJ Fox,SR,True,True,4.0
James Madison,C,IOL,label,,OFF,1,Zach Greenberg,GR,True,False,3.0
Wyoming,LT,OT,label,,OFF,1,Rex Johnsen,SR,False,True,1.0
Wyoming,WR-SL,WR,label,WR,OFF,1,Deion DeBlanc,SO,False,False,3.0
Wyoming,LDE,EDGE,label,EDGE,DEF,1,Jack Dunkley,SR,True,False,1.0
Wyoming,RB,RB,label,RB,OFF,1,Samuel Harris,SO,False,False,1.0
Wyoming,QB,QB,label,QB,OFF,1,Tyler Hughes,SR,True,True,1.0
Wyoming,TE-Y,TE,label,TE,OFF,1,Jake Wilson,SO,False,True,1.0
Wyoming,MLB,LB,label,LB,DEF,1,Ethan Stuhlsatz,GR,True,False,2.0
Wyoming,WLB,LB,label,LB,DEF,1,Gary Rutherford,SO,False,True,1.0
Wyoming,RDT,DT,label,WR,DEF,1,Jayden Williams,JR,False,True,2.0
Wyoming,LDT,DT,label,LB,DEF,1,Dante Drake,JR,False,True,1.0
Wyoming,RDE,EDGE,label,EDGE,DEF,1,Esaia Bogar,SR,True,False,2.0
Air Force,QB,QB,label,QB,OFF,1,Liam Szarka,JR,False,False,1.0
Air Force,TE,TE,label,TE,OFF,1,Simon Kibbee,SR,False,False,1.0
Air Force,RT,OT,label,,OFF,1,Luke Vonderhaar,SR,False,False,5.0
Air Force,RG,IOL,label,,OFF,1,Jon Ashford,JR,False,False,4.0
Wyoming,SS,SAF,label,SAF,DEF,1,Brooklyn Cheek,SO,True,True,1.0
Wisconsin,LG,IOL,label,,OFF,1,Colin Cubberly,SO,False,True,2.0
Wisconsin,LT,OT,label,,OFF,1,PJ Wilkins,JR,True,True,1.0
Wisconsin,WR-SL,WR,label,WR,OFF,1,Tyrell Henry,SR,True,True,3.0
Wisconsin,DT,DT,label,DT,DEF,1,Junior Poyser,JR,True,True,2.0
Wisconsin,NT,DT,label,DT,DEF,1,Hammond Russell IV,SR,True,True,1.0
Wisconsin,RB,RB,label,RB,OFF,1,Abu Sama III,SR,True,False,1.0
Wisconsin,QB,QB,label,QB,OFF,1,Colton Joseph,JR,True,True,1.0
Wisconsin,TE,TE,label,TE,OFF,1,Jacob Harris,JR,True,True,1.0
Air Force,WLB,LB,label,LB,DEF,1,Blake Fletcher,SR,False,False,1.0
Air Force,MLB,LB,label,LB,DEF,1,Dallas Daley,SR,False,False,2.0
Air Force,NT,DT,label,,DEF,1,Bennett Williams,JR,False,False,1.0
Air Force,DT,DT,label,DT,DEF,1,Chaz Barnett,JR,False,False,2.0
Wisconsin,SS,SAF,label,SAF,DEF,1,Matthew Jung,SR,True,True,1.0
Wisconsin,RCB,CB,label,CB,DEF,1,Eric Fletcher Jr.,SO,True,True,2.0
Wisconsin,LCB,CB,label,CB,DEF,1,Javan Robinson,SR,True,True,1.0
Wisconsin,SLB,LB,label,LB,DEF,1,Jon Jon Kamara,SO,True,True,3.0
Western Michigan,LDT,DT,label,DT,DEF,1,Zavian Tibbs,SR,True,False,1.0
Western Michigan,RDE,EDGE,label,EDGE,DEF,1,DeJuan Echoles Jr.,SR,True,True,2.0
Wisconsin,WR-Z,WR,label,WR,OFF,1,Chris Brooks Jr.,SR,False,True,2.0
Wisconsin,WR-X,WR,label,WR,OFF,1,Eugene Hilton Jr.,SO,False,False,1.0
Western Michigan,NB,CB,bio,,DEF,1,Joshua Franklin,SR,False,False,3.0
Western Michigan,FS,SAF,label,SAF,DEF,1,Micah Davis,JR,True,True,2.0
Western Michigan,SS,SAF,label,SAF,DEF,1,Joey Pope,JR,False,True,1.0
Western Michigan,RCB,CB,label,CB,DEF,1,John Peters,SO,False,False,2.0
Western Michigan,LCB,CB,label,CB,DEF,1,Jarvarius Sims,SR,True,True,1.0
Air Force,SS,SAF,label,,DEF,1,Kyle Chen,JR,False,False,1.0
Air Force,FS,SAF,label,SAF,DEF,1,Max Mustell,SO,False,False,2.0
Air Force,RCB,CB,label,CB,DEF,1,Mikhail Seiken,JR,False,False,2.0
Air Force,LCB,CB,label,CB,DEF,1,Korey Johnson,JR,False,False,1.0
Wisconsin,RT,OT,label,,OFF,1,Kevin Heywood,SO,False,True,5.0
Wisconsin,RG,IOL,label,,OFF,1,Emerson Mandell,SO,False,True,4.0
Wisconsin,C,IOL,label,,OFF,1,Austin Kawecki,GR,True,False,3.0
Western Michigan,LT,OT,label,,OFF,1,Brandon Smith,SR,True,True,1.0
Western Michigan,WR-F,WR,label,WR,OFF,1,Emazon Littlejohn,SO,True,True,3.0
Western Michigan,WR-Z,WR,label,WR,OFF,1,Baylin Brooks,JR,True,True,2.0
Western Michigan,WR-X,WR,label,WR,OFF,1,Aveion Chenault,SO,False,False,1.0
Western Kentucky,NB,SAF,bio,SAF,DEF,1,Christian White,SR,True,True,3.0
Western Michigan,LDE,EDGE,label,EDGE,DEF,1,Scoop Gardner Jr.,JR,True,False,1.0
Western Michigan,RB,RB,label,RB,OFF,1,Jalen Buckley,SR,False,True,1.0
Western Michigan,QB,QB,label,QB,OFF,1,Broc Lowry,JR,True,True,1.0
Western Michigan,TE,TE,label,TE,OFF,1,Adam Parks,JR,True,True,1.0
Akron,WR-SL,WR,label,WR,OFF,1,Kyan Mason,SO,False,True,3.0
Akron,WR-Z,WR,label,WR,OFF,1,Marcel Williams,SO,True,True,2.0
Akron,WR-X,WR,label,WR,OFF,1,Cameron Monteiro,SO,True,True,1.0
Air Force,SPUR,CB,default,,DEF,1,Alexander Perez,SO,False,False,1.0
Western Michigan,MLB,LB,label,LB,DEF,1,Dillon Moore,SR,False,True,2.0
Western Michigan,WLB,LB,label,LB,DEF,1,Domanick Moon,SR,True,True,1.0
Western Michigan,RDT,DT,label,DT,DEF,1,Ahmed Tounkara,SO,True,True,2.0
Western Kentucky,RCB,CB,label,CB,DEF,1,Lataj Wright,SR,True,True,2.0
Western Kentucky,LCB,CB,label,CB,DEF,1,Braxton Myers,JR,True,True,1.0
Western Kentucky,MLB,LB,label,LB,DEF,1,Jordan Donald,SO,False,False,2.0
Western Kentucky,WLB,LB,label,LB,DEF,1,Zach Smith,SO,True,True,1.0
Western Kentucky,DT,DT,label,DT,DEF,1,Jakeem Fletcher,SR,True,True,2.0
Western Kentucky,NT,DT,label,DT,DEF,1,Kiawan Murphy,SR,True,True,1.0
Akron,TE,TE,label,TE,OFF,1,Conner Cravaack,JR,False,True,1.0
Akron,RT,OT,label,,OFF,1,Allen Jones Jr.,SR,True,True,5.0
Akron,RG,IOL,label,,OFF,1,Carlos Slayden,SR,True,True,4.0
Akron,C,IOL,label,,OFF,1,Colin Lyons,GR,False,False,3.0
Akron,LG,IOL,label,,OFF,1,Amarie Archer,SR,True,True,2.0
Akron,LT,OT,label,,OFF,1,Ian Falkner,SR,True,True,1.0
Western Michigan,RT,OT,label,,OFF,1,Chad Schuster,SR,True,True,5.0
Western Michigan,RG,IOL,label,,OFF,1,Gavin Dabo,SO,False,True,4.0
Western Michigan,C,IOL,label,,OFF,1,Jeremy Schleicher,SO,False,True,3.0
Western Michigan,LG,IOL,label,,OFF,1,Hunter Whitenack,SR,True,True,2.0
Western Kentucky,RG,IOL,label,,OFF,1,Rhett Larson,SR,True,True,4.0
Western Kentucky,C,IOL,label,,OFF,1,Alec Johnson,SR,True,True,3.0
Western Kentucky,LG,IOL,label,,OFF,1,Nonso Omezi,SR,True,True,2.0
Western Kentucky,LT,OT,label,,OFF,1,Zach Clayton,JR,True,False,1.0
Western Kentucky,RDE,EDGE,label,EDGE,DEF,1,Elin Jones,SR,True,True,2.0
Western Kentucky,LDE,EDGE,label,,DEF,1,Venson Sneed,SR,True,True,1.0
Western Kentucky,RB,RB,label,RB,OFF,1,Ajay Allen,SR,True,True,1.0
Western Kentucky,QB,QB,label,QB,OFF,1,Rodney Tisdale Jr.,SO,False,True,1.0
Akron,DT,DT,label,DT,DEF,1,Vaughn Highland,SR,True,True,2.0
Akron,NT,DT,label,DT,DEF,1,Ronald Hull,JR,False,False,1.0
Akron,RDE,EDGE,label,EDGE,DEF,1,Kurtis Waye,SR,True,False,2.0
Akron,LDE,EDGE,label,,DEF,1,Cyrus Durham,SR,True,True,1.0
Akron,RB,RB,label,RB,OFF,1,Jordan Gant,SR,True,True,1.0
Akron,QB,QB,label,QB,OFF,1,Reese Poffenbarger,GR,True,False,1.0
Western Kentucky,FS,SAF,label,SAF,DEF,1,Dave Herard,SR,True,True,2.0
Western Kentucky,SS,SAF,label,SAF,DEF,1,Jaylen Lewis,SR,True,True,1.0
West Virginia,RCB,CB,label,CB,DEF,1,Chams Diagne,SR,True,True,2.0
West Virginia,LCB,CB,label,CB,DEF,1,Nick Taylor,JR,True,False,1.0
Western Kentucky,WR-SL,WR,label,WR,OFF,1,K.D. Hutchinson,SR,False,True,3.0
Western Kentucky,WR-Z,WR,label,WR,OFF,1,Qua'Vez Humphreys,SR,True,True,2.0
Western Kentucky,WR-X,WR,label,,OFF,1,Cameron Flowers,SO,False,True,1.0
West Virginia,BANDIT,EDGE,bio,,DEF,1,Harper Holloman,JR,True,False,1.0
West Virginia,NB,CB,default,,DEF,1,Andrew Powdrell,SR,True,False,3.0
Akron,NB,SAF,bio,,DEF,1,Alex Branch,SR,True,True,3.0
Akron,FS,SAF,label,SAF,DEF,1,Mehki Flowers,SR,True,True,2.0
Akron,SS,SAF,label,SAF,DEF,1,Daymon David,GR,True,False,1.0
Akron,RCB,CB,label,CB,DEF,1,Terence Thomas,SR,False,True,2.0
Akron,LCB,CB,label,CB,DEF,1,Catrell White,JR,False,True,1.0
Akron,MLB,LB,label,LB,DEF,1,Jeremiah Jones,JR,True,False,2.0
Akron,WLB,LB,label,LB,DEF,1,Dwight Nunoo,SR,True,True,1.0
Western Kentucky,TE,TE,label,TE,OFF,1,CC Ezirim,SR,True,False,1.0
Western Kentucky,RT,OT,label,,OFF,1,Karsten Upchurch,SR,True,True,5.0
West Virginia,RT,OT,label,OT,OFF,1,Malik Agbo,SR,True,True,5.0
West Virginia,MLB,LB,label,LB,DEF,1,Ben Cutter,SR,False,False,2.0
West Virginia,WLB,LB,label,LB,DEF,1,Malachi Hood,SR,True,True,1.0
West Virginia,DT,DT,label,DT,DEF,1,KJ Henson,JR,True,True,2.0
West Virginia,NT,DT,label,DT,DEF,1,Nate Gabriel,JR,False,False,1.0
West Virginia,DE,EDGE,label,EDGE,DEF,1,Zeke Durham-Campbell,SR,True,True,1.0
West Virginia,FB,RB,label,RB,OFF,1,Kayden Luke,JR,True,False,1.0
West Virginia,RB,RB,label,RB,OFF,1,Cam Cook,SR,True,False,1.0
Alabama,C,IOL,label,,OFF,1,Racin Delgatty,JR,True,True,3.0
Alabama,LG,IOL,label,,OFF,1,William Sanders,SO,False,True,2.0
Alabama,LT,OT,label,,OFF,1,Jackson Lloyd,FR,False,True,1.0
Alabama,WR-H,WR,label,WR,OFF,1,Lotzeir Brooks,SO,False,False,3.0
Alabama,WR-Z,WR,label,WR,OFF,1,Ryan Coleman-Williams,JR,False,False,2.0
Alabama,WR-X,WR,label,WR,OFF,1,Derek Meadows,SO,False,False,1.0
West Virginia,FS,SAF,label,SAF,DEF,1,Matt Sieg,FR,False,False,2.0
West Virginia,SS,SAF,label,SAF,DEF,1,Kamari Wilson,SR,True,True,1.0
Washington State,FS,SAF,label,SAF,DEF,1,Kyle Peterson,SO,False,False,2.0
Washington State,SS,SAF,label,SAF,DEF,1,Jeremiah Bernard,JR,True,False,1.0
Washington State,RCB,CB,label,CB,DEF,1,Jalil Tucker,SR,True,True,2.0
Washington State,LCB,CB,label,CB,DEF,1,Khamari Terrell,SR,True,True,1.0
West Virginia,RG,IOL,label,,OFF,1,Amare Grayson,JR,True,False,4.0
West Virginia,C,IOL,label,,OFF,1,Cam Griffin,SR,True,False,3.0
West Virginia,LG,IOL,label,,OFF,1,Nick Krahe,JR,False,True,2.0
West Virginia,LT,OT,label,,OFF,1,Carsten Casady,JR,True,True,1.0
West Virginia,WR-Y,WR,label,WR,OFF,1,DJ Epps,SR,True,True,3.0
West Virginia,WR-Z,WR,label,WR,OFF,1,Jaden Bray,SR,True,True,2.0
West Virginia,WR-X,WR,label,WR,OFF,1,Prince Strachan,JR,True,True,1.0
Alabama,TE,TE,label,TE,OFF,1,Kaleb Edwards,SO,False,False,1.0
Alabama,RT,OT,label,OT,OFF,1,Jayvin James,JR,True,True,5.0
Alabama,RG,IOL,label,,OFF,1,Michael Carroll,SO,False,False,4.0
West Virginia,QB,QB,label,QB,OFF,1,Michael Hawkins Jr.,SO,True,True,1.0
West Virginia,TE,TE,label,TE,OFF,1,Ryan Ward,JR,True,False,1.0
Washington State,WR-SL,WR,label,,OFF,1,Tony Freeman,SR,True,False,3.0
Washington State,WR-Z,WR,label,WR,OFF,1,Tank Hawkins,JR,True,False,2.0
Washington State,WR-X,WR,label,WR,OFF,1,Darrius Clemons,SR,True,True,1.0
Washington State,RB,RB,label,RB,OFF,1,Kirby Vorhees,JR,True,True,1.0
Washington State,QB,QB,label,QB,OFF,1,Caden Pinnick,SO,True,True,1.0
Washington State,TE,TE,label,TE,OFF,1,Jack Pedersen,SR,True,True,1.0
Washington State,MLB,LB,label,LB,DEF,1,Nylan Brown,JR,True,False,2.0
Washington State,WLB,LB,label,LB,DEF,1,Keith Brown,GR,True,False,1.0
Washington State,DT,DT,label,DT,DEF,1,Kaden Beatty,JR,True,True,2.0
Washington State,NT,DT,label,DT,DEF,1,Jirah Leaupepetele,JR,True,True,1.0
Washington State,RDE,EDGE,label,EDGE,DEF,1,Matyus McLain,JR,True,True,2.0
Washington State,LDE,EDGE,label,EDGE,DEF,1,Linus Zunk,SR,True,True,1.0
Alabama,DE,EDGE,label,EDGE,DEF,1,Jah-Marien Latham,GR,False,False,1.0
Alabama,RB,RB,label,RB,OFF,1,Daniel Hill,SO,False,True,1.0
Alabama,QB,QB,label,QB,OFF,1,Austin Mack,JR,True,True,1.0
Washington State,NB,CB,bio,CB,DEF,1,Jaylen Thomas,SO,True,True,3.0
Washington,RDT,DT,label,DT,DEF,1,Derek Colman-Brusa,FR,False,False,2.0
Washington,LDT,DT,label,,DEF,1,Elinneus Davis,JR,False,True,1.0
Washington,RDE,EDGE,label,EDGE,DEF,1,Isaiah Ward,SR,True,True,2.0
Washington,NB,CB,bio,,DEF,1,Rahshawn Clark,SO,False,True,3.0
Washington,FS,SAF,label,SAF,DEF,1,Rylon Dillard-Allen,SO,False,False,2.0
Washington,SS,SAF,label,SAF,DEF,1,Alex McLaughlin,SR,True,False,1.0
Washington,RCB,CB,label,CB,DEF,1,Dylan Robinson,SO,False,False,2.0
Washington,LCB,CB,label,CB,DEF,1,Emmanuel Karnley,JR,True,True,1.0
Alabama,MLB,LB,label,LB,DEF,1,Caleb Woodson,SR,True,False,1.0
Alabama,DT,DT,label,DT,DEF,1,London Simmons,SO,False,False,2.0
Alabama,NT,DT,label,DT,DEF,1,Kedrick Bingley-Jones,SR,True,True,1.0
Washington State,RT,OT,label,,OFF,1,Jaylin Caldwell,SR,True,True,5.0
Washington State,RG,IOL,label,,OFF,1,Noah Dunham,JR,False,True,4.0
Washington State,C,IOL,label,,OFF,1,Kyle Martin,JR,False,True,3.0
Washington State,LG,IOL,label,,OFF,1,Jonny Lester,SR,False,True,2.0
Washington State,LT,OT,label,,OFF,1,Ashton Tripp,JR,False,True,1.0
Washington,WR-X,WR,label,WR,OFF,1,Christian Moss,SR,True,True,1.0
Washington,TE,TE,label,TE,OFF,1,Decker DeGraaf,JR,False,False,1.0
Washington,RT,OT,label,,OFF,1,Drew Azzopardi,SR,True,True,5.0
Washington,RG,IOL,label,,OFF,1,Geirean Hatchett,SR,True,True,4.0
Washington,C,IOL,label,,OFF,1,Landen Hatchett,SR,False,False,3.0
Washington,LG,IOL,label,,OFF,1,John Mills,SO,False,False,2.0
Washington,LDE,EDGE,label,EDGE,DEF,1,Jacob Lane,SR,False,False,1.0
Washington,RB,RB,label,RB,OFF,1,Jayden Limar,SR,True,False,1.0
Washington,QB,QB,label,QB,OFF,1,Demond Williams Jr.,JR,False,False,1.0
Alabama,WOLF,EDGE,default,,DEF,1,Yhonzae Pierre,JR,False,True,1.0
Alabama,FS,SAF,label,SAF,DEF,1,Keon Sabb,SR,True,True,2.0
Alabama,SS,SAF,label,SAF,DEF,1,Bray Hubbard,SR,False,False,1.0
Alabama,RCB,CB,label,CB,DEF,1,Dijon Lee Jr.,SO,False,False,2.0
Alabama,LCB,CB,label,CB,DEF,1,Zabien Brown,JR,False,False,1.0
Washington,MLB,LB,label,LB,DEF,1,Jacob Manu,SR,True,True,2.0
Washington,WLB,LB,label,LB,DEF,1,Xe'ree Alexander,SR,True,False,1.0
Wake Forest,DE,EDGE,label,EDGE,DEF,1,Gabe Kirschke,SR,True,True,1.0
Wake Forest,RB,RB,label,RB,OFF,1,Ty Clark III,JR,False,False,1.0
Wake Forest,NB,CB,default,,DEF,1,Davaughn Patterson,JR,False,True,3.0
Wake Forest,FS,SAF,label,SAF,DEF,1,Braylon Johnson,JR,True,True,2.0
Wake Forest,SS,SAF,label,SAF,DEF,1,Rushaun Tongue,JR,False,True,1.0
Wake Forest,RCB,CB,label,CB,DEF,1,Bernard Causey,SO,True,True,2.0
Wake Forest,LCB,CB,label,CB,DEF,1,Deuce Blades II,SR,True,True,1.0
Wake Forest,MLB,LB,label,LB,DEF,1,Aiden Hall,SR,False,False,2.0
App State,WR-SL,WR,label,WR,OFF,1,Chris Lofton,JR,True,True,3.0
App State,WR-Z,WR,label,WR,OFF,1,Alex Sanchez,SO,False,False,2.0
App State,WR-X,WR,label,WR,OFF,1,Sam Mbake,SR,True,True,1.0
Alabama,HUSKY,SAF,bio,,DEF,1,Red Morgan,JR,False,False,1.0
Alabama,STING,LB,bio,LB,DEF,1,QB Reese,SO,False,True,1.0
Washington,LT,OT,label,OT,OFF,1,Kodi Greene,FR,False,False,1.0
Washington,WR-SL,WR,label,WR,OFF,1,Dezmen Roebuck,SO,False,False,3.0
Washington,WR-Z,WR,label,WR,OFF,1,Rashid Williams,JR,False,True,2.0
Wake Forest,TE,TE,label,TE,OFF,1,Kamrean Johnson,SR,True,False,1.0
Wake Forest,RT,OT,label,,OFF,1,George Steih,JR,False,True,5.0
Wake Forest,RG,IOL,label,,OFF,1,Ryan Berger,JR,True,True,4.0
Wake Forest,C,IOL,label,,OFF,1,John Ohnegian,SR,True,True,3.0
Wake Forest,LG,IOL,label,,OFF,1,Clinton Richard,SO,False,True,2.0
App State,QB,QB,label,QB,OFF,1,Malachi Singleton,JR,True,True,1.0
App State,TE,TE,label,TE,OFF,1,Darrin Fugitt,SR,True,True,1.0
App State,RT,OT,label,,OFF,1,Tyriq Poindexter,SR,True,True,5.0
App State,RG,IOL,label,,OFF,1,Trent Ramsey,SR,True,True,4.0
App State,C,IOL,label,,OFF,1,Jayden Thomas,SO,True,True,3.0
App State,LG,IOL,label,,OFF,1,Cayden Sweatt,JR,False,True,2.0
App State,LT,OT,label,,OFF,1,Devon Manuel,SR,True,True,1.0
Wake Forest,WLB,LB,label,LB,DEF,1,Frank Cusano,SO,True,True,1.0
Wake Forest,DT,DT,label,DT,DEF,1,Dallas Afalava,SR,True,False,2.0
Wake Forest,NT,DT,label,DT,DEF,1,Zach Lohavichan,SR,False,True,1.0
Wake Forest,RUSH,EDGE,bio,EDGE,DEF,1,Langston Hardy,SR,True,True,2.0
Virginia Tech,FS,SAF,label,SAF,DEF,1,Tyson Flowers,SR,True,True,2.0
Virginia Tech,SS,SAF,label,SAF,DEF,1,Quentin Reddish,SO,False,True,1.0
Virginia Tech,RCB,CB,label,CB,DEF,1,Joshua Clarke,SO,False,True,2.0
Virginia Tech,LCB,CB,label,CB,DEF,1,Jaquez White,SR,True,False,1.0
Virginia Tech,MLB,LB,label,LB,DEF,1,Noah Chambers,SO,False,False,2.0
Virginia Tech,WLB,LB,label,LB,DEF,1,Kaleb Spencer,SR,True,False,1.0
Wake Forest,LT,OT,label,,OFF,1,Ethan Calloway,SO,True,True,1.0
Wake Forest,WR-SL,WR,label,WR,OFF,1,Kam Shanks,JR,True,True,3.0
Wake Forest,WR-Z,WR,label,WR,OFF,1,Carlos Hernandez,SR,True,False,2.0
Wake Forest,WR-X,WR,label,WR,OFF,1,Antonio Meeks,SR,True,True,1.0
App State,DT,DT,label,,DEF,1,Nick Campbell,SR,True,True,2.0
App State,NT,DT,label,,DEF,1,Jehchys Brown,JR,True,True,1.0
App State,RDE,EDGE,label,,DEF,1,Caleb Sandstrom,JR,True,True,2.0
App State,LDE,EDGE,label,EDGE,DEF,1,Aiden Benton,JR,True,True,1.0
App State,RB,RB,label,RB,OFF,1,Ja'Quez Cross,SR,True,True,1.0
Wake Forest,QB,QB,label,QB,OFF,1,Gio Lopez,JR,True,True,1.0
Virginia Tech,WR-Z,WR,label,WR,OFF,1,Ayden Greene,SR,False,False,2.0
Virginia Tech,WR-X,WR,label,WR,OFF,1,Que'Sean Brown,JR,True,True,1.0
Virginia,SPUR,CB,default,,DEF,1,Corey Costner,SO,False,False,1.0
Virginia Tech,QB,QB,label,QB,OFF,1,Ethan Grunkemeyer,SO,True,True,1.0
Virginia Tech,TE,TE,label,TE,OFF,1,Luke Reynolds,JR,True,False,1.0
Virginia Tech,RT,OT,label,,OFF,1,Aidan Lynch,SO,False,True,5.0
Virginia Tech,RDT,DT,label,DT,DEF,1,Kemari Copeland,SR,True,True,2.0
Virginia Tech,LDT,DT,label,,DEF,1,Elhadj Fall,SR,True,True,1.0
Virginia Tech,RDE,EDGE,label,EDGE,DEF,1,Aycen Stevens,JR,False,True,2.0
Virginia Tech,LDE,EDGE,label,EDGE,DEF,1,Javion Hilson,FR,True,True,1.0
Virginia Tech,RB,RB,label,RB,OFF,1,Marcellous Hawkins,SR,True,True,1.0
App State,RCB,CB,label,CB,DEF,1,Ja'Cari Henderson,SR,True,True,2.0
App State,LCB,CB,label,,DEF,1,Juan Berchal,SO,False,False,1.0
App State,MLB,LB,label,LB,DEF,1,Colton Phares,JR,False,True,2.0
App State,WLB,LB,label,LB,DEF,1,Kevin Henderson,JR,True,False,1.0
Virginia Tech,NB,CB,bio,,DEF,1,Isaiah Brown-Murray,SR,True,True,3.0
Virginia,NT,DT,label,DT,DEF,1,Anthony Britton,JR,False,True,1.0
Virginia,BANDIT,EDGE,bio,EDGE,DEF,1,Matthew Fobbs-White,SR,True,False,1.0
Virginia,FS,SAF,label,SAF,DEF,1,Brandyn Hillman,SR,True,False,2.0
Virginia,SS,SAF,label,SAF,DEF,1,Ethan Minter,SO,False,True,1.0
Virginia,RCB,CB,label,CB,DEF,1,Jacobie Henderson,GR,True,False,2.0
Arizona,WR-SL,WR,label,WR,OFF,1,Giovanni Richardson,SO,False,False,3.0
Arizona,WR-Z,WR,label,WR,OFF,1,Chris Hunter,SR,False,True,2.0
Arizona,WR-X,WR,label,WR,OFF,1,Tre Spivey,JR,True,True,1.0
App State,NB,CB,default,,DEF,1,Ja'Den McBurrows,SR,True,True,3.0
App State,FS,SAF,label,,DEF,1,Kaleb Purdy,SR,True,True,2.0
App State,SS,SAF,label,SAF,DEF,1,Eric Adams,JR,True,True,1.0
Virginia Tech,RG,IOL,label,,OFF,1,Montavious Cunningham,GR,True,False,4.0
Virginia Tech,C,IOL,label,,OFF,1,Kyle Altuner,SO,True,True,3.0
Virginia Tech,LG,IOL,label,,OFF,1,Layth Ghannam,JR,False,True,2.0
Virginia Tech,LT,OT,label,,OFF,1,Logan Howland,JR,True,True,1.0
Virginia Tech,WR-SL,WR,label,WR,OFF,1,Takye Heath,JR,False,True,3.0
Virginia,C,IOL,label,,OFF,1,Drake Metcalf,GR,True,False,3.0
Virginia,LG,IOL,label,,OFF,1,Noah Josey,GR,False,False,2.0
Virginia,LT,OT,label,,OFF,1,McKale Boley,GR,False,False,1.0
Virginia,DE,EDGE,label,EDGE,DEF,1,Fisher Camac,SR,True,True,1.0
Virginia,RB,RB,label,RB,OFF,1,Peyton Lewis,JR,True,False,1.0
Virginia,QB,QB,label,QB,OFF,1,Beau Pribula,GR,True,False,1.0
Virginia,TE,TE,label,TE,OFF,1,Dakota Twitty,GR,False,False,1.0
Arizona,RT,OT,label,,OFF,1,Tristan Bounds,SR,True,True,5.0
Arizona,RG,IOL,label,,OFF,1,Alexander Doost,JR,True,True,4.0
Arizona,C,IOL,label,,OFF,1,Zach Henning,JR,True,True,3.0
Arizona,LG,IOL,label,,OFF,1,Rhino Tapa'atoutai,JR,False,True,2.0
Arizona,LT,OT,label,,OFF,1,Matthew Lado,SO,False,True,1.0
Virginia,LCB,CB,label,CB,DEF,1,Donavon Platt,GR,True,False,1.0
Virginia,MLB,LB,label,LB,DEF,1,Kam Robinson,SR,False,False,2.0
Virginia,WLB,LB,label,LB,DEF,1,Maddox Marcellus,SR,True,False,1.0
Virginia,DT,DT,label,DT,DEF,1,Jason Hammond,JR,False,True,2.0
Vanderbilt,LCB,CB,label,CB,DEF,1,Jordan Matthews,JR,True,True,1.0
Vanderbilt,MLB,LB,label,LB,DEF,1,Nick Rinaldi,GR,False,False,2.0
Vanderbilt,WLB,LB,label,LB,DEF,1,Bryan Longwell,SR,False,False,1.0
Vanderbilt,DT,DT,label,DT,DEF,1,Glenn Seabrooks III,JR,False,False,2.0
Vanderbilt,NT,DT,label,DT,DEF,1,Yilanan Ouattara,GR,False,False,1.0
Virginia,WR-SL,WR,label,WR,OFF,1,Kameron Courtney,JR,False,False,3.0
Virginia,WR-Z,WR,label,WR,OFF,1,Rico Flores Jr.,GR,True,False,2.0
Virginia,WR-X,WR,label,,OFF,1,Da'Shawn Martin,JR,True,False,1.0
Vanderbilt,NB,CB,bio,,DEF,1,CJ Heard,JR,True,False,3.0
Vanderbilt,FS,SAF,label,SAF,DEF,1,Dontae Carter,JR,False,False,2.0
Vanderbilt,SS,SAF,label,SAF,DEF,1,Ricardo Jones,JR,True,False,1.0
Arizona,RB,RB,label,RB,OFF,1,Kedrick Reescano,SR,True,False,1.0
Arizona,QB,QB,label,QB,OFF,1,Noah Fifita,SR,False,True,1.0
Arizona,TE,TE,label,TE,OFF,1,Cole Rusk,SR,True,True,1.0
Virginia,RT,OT,label,,OFF,1,Monroe Mills,GR,True,False,5.0
Virginia,RG,IOL,label,,OFF,1,Makilan Thomas,GR,True,False,4.0
Vanderbilt,ST,OT,label,,OFF,1,Orion Irving,SR,True,True,5.0
Vanderbilt,SG,IOL,label,,OFF,1,Micah DeBose,FR,True,True,4.0
