season,team,war,var,players,sd,lo68,hi68,lo95,hi95
2014,Air Force,5.753994398370996,0.1843534678935546,67,0.4293640272467578,5.324630371124238,6.1833584256177545,4.912440904967351,6.5955478917746415
2014,Akron,1.859939721221995,0.1396559189344614,61,0.3737056581515209,1.4862340630704742,2.233645379373516,1.1274766312450142,2.592402811198976
2014,Alabama,9.164223996611767,0.1533600484946509,63,0.391612114846631,8.772611881765137,9.555836111458397,8.39666425151237,9.931783741711165
2014,App State,4.332961069074778,0.12992848198581294,66,0.3604559362610261,3.972505132813752,4.693417005335804,3.6264674340031666,5.039454704146389
2014,Arizona,4.256475306204101,0.20151990647916102,59,0.4489096863280642,3.807565619876037,4.705384992532165,3.376612321001095,5.136338291407107
2014,Arizona State,3.883583821866579,0.17896124939916855,53,0.4230381181396879,3.460545703726891,4.306621940006267,3.0544291103127907,4.712738533420367
2014,Arkansas,6.009505673644588,0.14166977164449754,64,0.3763904510538193,5.633115222590769,6.385896124698407,5.271780389579102,6.747230957710074
2014,Arkansas State,4.2327513392990195,0.166010395437803,66,0.4074437328488475,3.825307606450172,4.640195072147867,3.4341616229152785,5.031341055682761
2014,Army,3.011617456517841,0.11905202664748368,59,0.3450391668310768,2.6665782896867642,3.356656623348918,2.3353406895289304,3.687894223506752
2014,Auburn,6.387436225192245,0.14187824925661346,58,0.37666729252300823,6.0107689326692375,6.764103517715253,5.649168331847149,7.1257041185373415
2014,BYU,0.3926847922565248,0.0027931160867385933,18,0.05284993932577968,0.3398348529307451,0.4455347315823045,0.28909891117799663,0.496270673335053
2014,Ball State,3.118022899837907,0.14442921501251577,50,0.3800384388618022,2.737984460976105,3.4980613386997095,2.3731475596687748,3.8628982400070395
2014,Baylor,7.916532523771475,0.19066604241938562,62,0.43665322902663345,7.479879294744841,8.353185752798108,7.060692194879274,8.772372852663677
2014,Boise State,8.176965208949898,0.18247559308958597,59,0.42717162018278554,7.749793588767113,8.604136829132685,7.339708833391638,9.014221584508158
2014,Boston College,3.3283473582138763,0.14399205467007312,54,0.37946285018440623,2.94888450802947,3.7078102083982825,2.58460017185244,4.072094544575313
2014,Bowling Green,4.103670725406991,0.18521766391956143,60,0.4303692181366616,3.6733015072703292,4.534039943543652,3.260147057859134,4.947194392954847
2014,Buffalo,5.277625896423448,0.128854299570504,51,0.3589628108460597,4.918663085577388,5.636588707269508,4.574058787165171,5.981193005681725
2014,California,3.547890014119066,0.1797046194027556,67,0.42391581641023446,3.1239741977088316,3.9718058305293007,2.7170150139550064,4.378765014283125
2014,Central Michigan,4.846862592771629,0.14849908062098893,48,0.38535578446545854,4.46150680830617,5.232218377237087,4.09156525521933,5.602159930323928
2014,Cincinnati,5.0956917360548015,0.14533915526016145,65,0.38123372786279214,4.714458008192009,5.476925463917594,4.348473629443729,5.842909842665874
2014,Clemson,5.7866307564612205,0.13547976775096934,69,0.3680757636016929,5.418554992859527,6.154706520062914,5.065202259801902,6.508059253120539
2014,Colorado,3.107689857916505,0.16309826021404722,50,0.4038542561544291,2.703835601762076,3.5115441140709343,2.316135515853824,3.899244199979186
2014,Colorado State,6.586053884292263,0.1542403589699098,56,0.3927344636900482,6.193319420602215,6.978788347982311,5.8162943354597685,7.355813433124758
2014,Duke,3.8200331837275234,0.1459090161080775,56,0.3819803870725269,3.4380527966549965,4.20201357080005,3.071351625065371,4.568714742389676
2014,East Carolina,5.518633172001847,0.16218481488336206,57,0.40272175864157383,5.115911413360273,5.921354930643421,4.729298525064362,6.307967818939332
2014,Eastern Michigan,0.6980901169555418,0.15340802349395533,52,0.39167336326836844,0.30641675368717336,1.0897634802239102,-0.06958967505046032,1.465769908961544
2014,Florida,3.835841909973628,0.13844855619048285,59,0.37208675895613763,3.46375515101749,4.207928668929766,3.106551862419598,4.565131957527657
2014,Florida Atlantic,2.219495382754696,0.13672291864956798,60,0.3697606234438275,1.8497347593108686,2.5892560061985237,1.4947645608047941,2.944226204704598
2014,Florida International,1.5744821002377065,0.14423864674444856,56,0.37978763374344954,1.194694466494257,1.954269733981156,0.8300983381005455,2.3188658623748677
2014,Florida State,6.845522830937213,0.16252884596760786,60,0.40314866484661444,6.442374166090599,7.248671495783827,6.0553514478378485,7.635694214036578
2014,Fresno State,4.144240779046408,0.17742831688131266,54,0.42122240785755055,3.723018371188857,4.565463186903958,3.318644859645609,4.969836698447207
2014,Georgia,6.465259083176059,0.1415010295011349,67,0.3761662258910745,6.089092857284984,6.841425309067133,5.727973280429553,7.202544885922564
2014,Georgia Southern,4.703793095191752,0.13528043364188877,72,0.367804885288231,4.335988209903522,5.071597980479983,3.9828955200268195,5.424690670356685
2014,Georgia State,1.7439018844252285,0.1525682359492486,66,0.39059984120484303,1.3533020432203855,2.134501725630072,0.9783261956637362,2.5094775731867207
2014,Georgia Tech,4.355485080300972,0.1587654823801943,54,0.3984538648077018,3.95703121549327,4.753938945108674,3.5745155052778763,5.1364546553240675
2014,Hawai'i,0.8626429149177577,0.1647745607897648,58,0.40592432889611924,0.45671858602163845,1.2685672438138769,0.06703123028136404,1.6582545995541513
2014,Houston,4.897388906572294,0.14789682548105987,52,0.38457356315932567,4.512815343412968,5.28196246973162,4.143624722780015,5.651153090364573
2014,Idaho,2.548826208714079,0.13961120482542438,50,0.37364582805836916,2.1751803806557097,2.922472036772448,1.8164803857196754,3.2811720317084827
2014,Illinois,3.697405331239144,0.1438061575670469,53,0.3792178233773393,3.3181875078618046,4.076623154616483,2.954138397419559,4.440672265058729
