season,player_id,player,position,team,waa,war,snaps,snaps_source
2014,10086,Kyle Woestmann,ED,Vanderbilt,-0.11404404264669986,-0.0013568971039475027,620.0,pff_snap_count
2014,10087,Terry Williams,DI,East Carolina,0.15464383033123758,0.24875919418519282,418.0,pff_snap_count
2014,10088,Jack Tabb,TE,North Carolina,0.060990690035822054,0.4243115272442436,331.0,pff_snap_count
2014,10090,Stephon Sanders,ED,SMU,0.08660347558555566,0.1777611549612728,603.0,pff_snap_count
2014,10091,Bobby Richardson,DI,Indiana,0.08178161999336067,0.20990994768093996,593.0,pff_snap_count
2014,10092,Ashaad Mabry,DI,UTSA,0.09916681319942708,0.218303011996429,518.0,pff_snap_count
2014,10093,Cyril Lemon,T,North Texas,0.09777768026206657,0.20297448916700517,798.0,pff_snap_count
2014,10094,Malcome Kennedy,WR,Texas A&M,-0.00714942503738212,0.15071164875040416,560.0,pff_snap_count
2014,10095,Sean Hickey,T,Syracuse,0.08807493654497398,0.1915873558378795,810.0,pff_snap_count
2014,10098,Kaleb Eulls,DI,Mississippi State,-0.01256094412320611,0.09666663233082531,500.0,pff_snap_count
2014,10099,Tavaris Barnes,ED,Clemson,0.03470130506663227,0.09137137550006977,267.0,pff_snap_count
2014,10100,Yannik Cudjoe-Virgil,ED,Maryland,0.028058661802844317,0.12120293537621166,505.0,pff_snap_count
2014,10101,Toby Johnson,DI,Georgia,0.06916759980598536,0.15341864589861756,368.0,pff_snap_count
2014,10102,Deon Long,WR,Maryland,-0.07224574151444033,0.09394600135221291,701.0,pff_snap_count
2014,10104,Josue Matias,G,Florida State,0.052643125147025745,0.1278886178394884,967.0,pff_snap_count
2014,10106,Connor Neighbors,FB,LSU,0.16576222451091216,0.2585555743014281,252.0,pff_snap_count
2014,10107,Cody Prewitt,S,Ole Miss,0.08479729953508307,0.1728155763536471,838.0,pff_snap_count
2014,10108,Cody Riggs,CB,Notre Dame,-0.03897897047943661,0.07229218663110124,637.0,pff_snap_count
2014,10109,Curtis Riley,CB,Fresno State,-0.06665695166984759,0.040984046195987445,613.0,pff_snap_count
2014,10110,Quinton Spain,G,West Virginia,-0.030040043737479562,0.05300908343006701,1027.0,pff_snap_count
2014,10111,J.R. Tavai,ED,USC,0.17187015802450212,0.281926809195962,619.0,pff_snap_count
2014,10112,Andrew Turzilli,WR,Rutgers,0.02363349448465952,0.03169700661293286,134.0,pff_denominator
2014,10113,Lucas Vincent,DI,Missouri,0.14542351266195636,0.2709231676344849,565.0,pff_snap_count
2014,10114,Andy Phillips,G,Central Michigan,0.08798187633430735,0.16594025637823973,917.0,pff_snap_count
2014,10115,Mack Brown,HB,Florida,0.005655612966710006,0.030580385171987037,82.0,pff_snap_count
2014,10117,Corey Moore,S,Georgia,0.058993333175599565,0.09854435302998595,492.0,pff_snap_count
2014,10118,Joseph Treadwell,T,UL Monroe,0.029982597181689094,0.11718783344497255,734.0,pff_snap_count
2014,10120,Chi Chi Ariguzo,LB,Northwestern,-0.22052588031814166,-0.07118973372876426,849.0,pff_snap_count
2014,10121,Manny Asprilla,CB,Boston College,-0.03784509713733534,0.10562810033493797,803.0,pff_snap_count
2014,10122,Ben Beckwith,G,Mississippi State,-0.004679793555424274,0.07458119623582755,942.0,pff_snap_count
2014,10123,Cameron Botticelli,DI,Minnesota,-0.08559991247060597,0.05674336666749577,636.0,pff_snap_count
2014,10124,Tyreek Burwell,G,Cincinnati,0.043772843298150566,0.08029082834756524,450.0,pff_snap_count
2014,10125,Cameron Clemmons,T,Western Kentucky,0.04862714272954674,0.14926773444994504,812.0,pff_snap_count
2014,10126,Titus Davis,WR,Central Michigan,-0.024087995639872364,0.15217323154404683,520.0,pff_snap_count
2014,10128,Jahwan Edwards,HB,Ball State,0.07438141242305883,0.41924443011385865,653.0,pff_snap_count
2014,10129,Eric Frohnapfel,TE,Marshall,0.07224298136967967,0.42022605344427566,277.0,pff_snap_count
2014,10130,Curtis Grant,LB,Ohio State,0.0224871074654515,0.13595769088425874,557.0,pff_snap_count
2014,10131,Brock Hekking,ED,Nevada,-0.08639002030371401,0.1012262566364012,896.0,pff_snap_count
2014,10134,Ryan Mueller,ED,Kansas State,0.2893936671784341,0.4606008723351705,820.0,pff_snap_count
2014,10136,Dreamius Smith,HB,West Virginia,-0.02850996060177155,0.07977160128168209,219.0,pff_snap_count
2014,10137,Demetrius Wilson,WR,Arkansas,-0.009125832628663571,0.025613325037472687,175.0,pff_denominator
2014,10141,Brandon Cottom,FB,Purdue,-0.005999501776895566,0.012135227898516822,62.0,pff_snap_count
2014,10142,Cole Stoudt,QB,Clemson,-0.16582177837979808,0.33341465244653606,627.0,pff_snap_count
2014,10145,Leon Brown,G,Alabama,-0.03812069057403149,0.03027024728140157,817.0,pff_snap_count
2014,10146,Shakim Phillips,WR,Boston College,0.0022954358812102534,0.03990474593945098,195.0,pff_snap_count
2014,10147,Austin Hill,WR,Arizona,-0.052189023097677145,0.09602606842774855,523.0,pff_denominator
2014,10148,Andre Davis,G,Buffalo,0.05938458681967308,0.13081234863044972,847.0,pff_snap_count
2014,10149,David Porter Jr.,WR,TCU,-0.018504634993804225,0.0805954300052357,300.0,pff_denominator
2014,10150,David Wang,C,Virginia Tech,-0.018075936463932546,0.05410313876779525,902.0,pff_snap_count
2014,10152,Donnie Baggs,LB,Texas A&M,0.032721749562945476,0.10617125991133276,369.0,pff_snap_count
2014,10153,John Lowdermilk,S,Iowa,-0.09760802053283295,0.0024336109860335717,854.0,pff_snap_count
2014,10155,Reshod Fortenberry,T,Texas Tech,0.05058074708618077,0.1594697339710186,896.0,pff_snap_count
2014,10156,T.Y. McGill,DI,NC State,0.10279166500318787,0.2022320124836343,429.0,pff_snap_count
2014,10160,Deshon Foxx,WR,UConn,-0.08604947014685986,0.02192289514421114,500.0,pff_snap_count
2014,10161,Derrick Wells,S,Minnesota,0.031740896458505787,0.0986119021010434,547.0,pff_snap_count
2014,10162,Henry Coley,LB,Virginia,0.15796279038110086,0.3122298203674834,800.0,pff_snap_count
2014,10163,Antonio Johnson,T,North Texas,-0.0694357717924096,0.01356476829404122,628.0,pff_snap_count
2014,10164,Kyle Prater,WR,Northwestern,-0.014419087485536572,0.1144779160525836,316.0,pff_denominator
2014,10167,Houston Bates,ED,Louisiana Tech,0.12455595534587455,0.29442747447621365,818.0,pff_snap_count
2014,10168,Hutson Mason,QB,Georgia,0.27595755767721275,0.7101003872432151,748.0,pff_snap_count
2014,10169,Dasman McCullum,ED,Southern Miss,0.08094031797497844,0.2288209954719817,693.0,pff_snap_count
2014,10170,Dezmond Johnson,ED,Duke,-0.058705770934602206,0.011181546164300688,358.0,pff_snap_count
2014,10171,Tevin Westbrook,TE,Florida,-0.01529752610570019,0.0703519378471419,224.0,pff_snap_count
2014,10172,Mylan Hicks,LB,Michigan State,0.011569132473002303,0.038856991982218606,206.0,pff_snap_count
2014,10174,Daniel Munyer,G,Colorado,0.010118759992076794,0.0884658639606578,1013.0,pff_snap_count
2014,10176,Melvin Meggs,G,South Alabama,0.04094909943223372,0.11991788735794989,945.0,pff_snap_count
2014,10179,Will Corbin,T,App State,0.022486966872764934,0.06123040908527621,287.0,pff_snap_count
2014,10180,Zach D'Orazio,WR,Akron,-0.20853842252632748,-0.01590610256545784,691.0,pff_snap_count
2014,10182,Tajh Hasson,CB,UNLV,-0.05235679446081308,0.06520097288182118,765.0,pff_snap_count
2014,10183,Jonathon Rumph,WR,Georgia,0.004569856782862224,0.005138953955084848,21.0,pff_denominator
2014,10184,Boris Anyama,LB,Louisiana,-0.029960469354309894,0.099007723136084,443.0,pff_snap_count
2014,10185,Camaron Beard,DI,Cincinnati,-0.2137265777778939,-0.080245207553407,603.0,pff_snap_count
2014,10187,Chase Williams,LB,Virginia Tech,-0.09231221241263474,0.03445499047232903,564.0,pff_snap_count
2014,10190,Chrishon Rose,DI,East Carolina,-0.1189047700378216,0.02281648777544508,646.0,pff_snap_count
2014,10192,D.J. Lynch,LB,Bowling Green,-0.03244594756818002,0.07162088097090154,600.0,pff_snap_count
2014,10193,Jimmay Mundine,TE,Kansas,0.09443471381778376,0.5190250371544014,330.0,pff_snap_count
2014,10194,Logan Stokes,TE,LSU,-0.03625400872011498,0.006626817659877497,149.0,pff_snap_count
2014,10195,Kasen Williams,WR,Washington,-0.011787322344833248,0.024415221387015698,220.0,pff_denominator
2014,10198,Mario Hull,WR,Rice,0.006536754386413791,0.10631855148483813,347.0,pff_denominator
2014,10199,Collin Rahrig,G,Indiana,0.02386720881078307,0.09941259008945398,867.0,pff_snap_count
2014,10200,Kenneth Penny,CB,UNLV,-0.1266808316597829,-0.0186417615675225,828.0,pff_snap_count
2014,10203,Isaiah Battle,T,Clemson,0.04032138182193512,0.14539312866075402,819.0,pff_snap_count
2014,10205,James Bodanis,T,Michigan State,-0.0042839150545901,0.00031238877838092106,36.0,pff_snap_count
2014,10273,Jawon Chisholm,HB,Akron,-0.08506518468961716,0.030001229038198653,395.0,pff_snap_count
