season,team,passing_yards,passing_yards_z,passing_touchdowns,passing_touchdowns_z,rushing_yards,rushing_yards_z,receiving_yards,receiving_yards_z,receptions,receptions_z,defensive_sacks,defensive_sacks_z,player_prod_off,player_prod_def,player_prod_war
2017,Air Force,1752.0,-0.011576298594071532,8.511618113111599,-0.7449196281866964,2016.0,1.0516926041421457,749.0222169575871,-1.68262352985301,55.01375550596333,-1.806756996877659,5.409877812500015,-1.5276393473079195,-0.8751494036832539,-1.5276393473079195,
2017,Akron,2770.0,0.7532942378401845,17.71956486294271,0.18222984580613075,1313.0,0.04380725024827189,1583.7415823817,-0.509950823835921,132.5016320145321,-0.3174163885503727,11.94434434323076,-0.36161143694646664,0.041635458881144755,-0.36161143694646664,
2017,Alabama,2769.0,0.7525428915372039,30.401271464429822,1.4591526956386187,2942.0,2.3792912353024973,2310.805944787459,0.5114805321716739,190.73745172584128,0.8018938192301729,20.56277344110418,1.1762843995890795,1.6176896522321575,1.1762843995890795,
2017,App State,2276.0,0.38212916416776554,12.167137432832472,-0.3768448655354041,2228.0,1.3556352713192457,1910.179945429816,-0.05134716085641979,118.2793974710018,-0.5907720720616177,6.914680099749519,-1.2591183504894612,0.19693847191872205,-1.2591183504894612,
2017,Arizona,1586.0,-0.13629978488885197,18.2915230243208,0.2398203948041824,2147.0,1.2395062333883726,1791.841223761034,-0.2175977532281742,142.0299564190566,-0.13427908882833223,12.910884971848498,-0.18913930870671075,0.27155742232038815,-0.18913930870671075,
2017,Arizona State,2717.0,0.7134728837822124,21.477863614270614,0.5606534841124096,1811.0,0.7577857797491954,1714.7439663790906,-0.32590942441438553,155.3424763090484,0.12159160171945965,13.884915131494433,-0.015330728260286487,0.5007282483034701,-0.015330728260286487,
2017,Arkansas,3441.0,1.2574476071401706,21.64731989407808,0.5777160611403616,999.0,-0.40637198321214973,1382.3497415907148,-0.7928803025238073,103.31897681272388,-0.8783159177310478,10.25991725544266,-0.6621851697971792,-0.06641451914561737,-0.6621851697971792,
2017,Arkansas State,2712.0,0.7097161522673093,20.006806092754772,0.4125324920669657,1609.0,0.4681800308351662,2084.5530759858266,0.19362452583961431,171.58511375310212,0.43378004488955274,20.517708730784836,1.1682429305942366,0.6076467523935135,1.1682429305942366,
2017,Army,703.0,-0.7997385704207263,12.051752459227586,-0.3884629950154001,2403.0,1.606531340922984,734.4909934793587,-1.703038018678599,57.46139900279664,-1.7597125427153497,9.38831119215108,-0.8177169170115305,-0.8341169954489561,-0.8177169170115305,
2017,Auburn,0.0,-1.3279350214160917,8.639454646975903,-0.7320477493249371,2122.0,1.2036639377306957,1778.7216895232398,-0.2360290013261514,133.1423766438956,-0.3051010814458717,14.911245715687713,0.16781048163020326,-0.38287607820890546,0.16781048163020326,
2017,BYU,0.0,-1.3279350214160917,5.724368548358013,-1.0255681851405494,9.0,-1.8257268912561542,775.5903793752988,-1.6452986992490748,56.838472959655796,-1.7716853711607348,2.342254263267603,-2.0750344039763093,-2.0812271970140186,-2.0750344039763093,
2017,Ball State,2733.0,0.7254944246299021,22.555714326029424,0.6691824262968661,2201.0,1.3169255920089546,1300.1030792627798,-0.9084262213895673,106.14257145544,-0.8240455679378452,14.657561054837153,0.12254230348724279,0.26826433544284034,0.12254230348724279,
2017,Baylor,1988.0,0.16574142890935126,28.822366688374107,1.3001725481229232,1754.0,0.6760653456496921,1862.5405225608504,-0.11827438603282087,129.1376668069463,-0.3820728253299203,23.11993835600623,1.6325918346566846,0.44977791856657817,1.6325918346566846,
2017,Boise State,4735.0,2.2296897231970734,21.265687554230134,0.5392894463084322,604.0,-0.9726802546034444,2298.145988755503,0.4936949319891406,137.88841107428968,-0.21388085288632783,14.512035247774431,0.09657428422890046,0.5688179310784436,0.09657428422890046,
2017,Boston College,100.0,-1.2528003911180312,8.356867506520418,-0.760501488877161,622.0,-0.9468738017299171,1684.0517188785818,-0.3690280609538417,113.30609240654485,-0.6863605114902865,24.134022325003997,1.8135477253542045,-1.1001929845653373,1.8135477253542045,
2017,Bowling Green,2088.0,0.24087605920741179,17.725125926714384,0.18278979011193827,1254.0,-0.04078056750384555,2460.7796898667393,0.7221742392528304,171.55275050536483,0.43315801340225063,8.935287238658299,-0.8985557385665319,0.42144416899887144,-0.8985557385665319,
2017,Buffalo,1765.0,-0.0018087966553236663,11.740350354265153,-0.41981811746128894,827.0,-0.6529669773369666,1269.736963414353,-0.9510866851552666,100.96935440161863,-0.923476376744374,16.105123688765058,0.38084930149822194,-0.8080164044424103,0.38084930149822194,
2017,California,600.0,-0.8771272396277286,14.63802828812746,-0.12805051224242342,1263.0,-0.027877341067081875,2846.788878575628,1.264467204554672,245.38337816426912,1.8522051839430305,11.362434726221858,-0.4654489654653012,0.570873975858939,-0.4654489654653012,
2017,Central Michigan,45.0,-1.2941244377819645,1.69315688088379,-1.431471463970982,1049.0,-0.33468739189679597,3321.1129036948882,1.9308310881611186,223.5060529749085,1.4317163245987803,9.886647899900789,-0.7287923648294847,0.08281497749302341,-0.7287923648294847,
2017,Charlotte,1356.0,-0.30910943457439116,15.828729262509702,-0.00815866098888629,1164.0,-0.16981283187148233,1572.7225551448835,-0.5254311313772565,132.00345822465184,-0.3269914406579233,11.242270110194514,-0.48689146508892095,-0.36700006764614385,-0.48689146508892095,
2017,Cincinnati,2234.0,0.3505726194425801,9.47800547709199,-0.6476139464173954,718.0,-0.8092393864044378,2563.0502790367987,0.8658511844822971,194.9499700149205,0.8828597049136355,17.02554250373778,0.545091328361888,0.1760144099282632,0.545091328361888,
2017,Clemson,73.0,-1.2730867412985074,7.875911644079568,-0.8089290033916187,482.0,-1.1475906574129076,1983.8509631964653,0.05215108698350519,153.64253513606315,0.0889182141552192,28.69875238667508,2.6280905239350725,-0.8462040789218284,2.6280905239350725,
2017,Coastal Carolina,116.0,-1.2407788502703414,8.435996512223017,-0.7525339779859749,0.0,-1.8386301176929178,422.787834244713,-2.1409406268540394,37.80789770342675,-2.1374588289712113,2.809052785048742,-1.9917376111390512,-2.222089163083534,-1.9917376111390512,
