season,team,group,proj_war
2020,Air Force,CB,0.10809304115564701
2020,Air Force,DT,0.11625154159806393
2020,Air Force,EDGE,0.07798572263280205
2020,Air Force,IOL,0.08882600176964779
2020,Air Force,LB,0.20791668972533728
2020,Air Force,OT,0.22198849495956977
2020,Air Force,QB,0.11822392390346442
2020,Air Force,RB,0.325577131247195
2020,Air Force,SAF,0.047473045488628046
2020,Air Force,TE,0.06008363479908166
2020,Air Force,WR,0.28149068296450214
2020,Akron,CB,0.10666051666084693
2020,Akron,DT,0.15324580921124792
2020,Akron,LB,0.19799891730786098
2020,Akron,QB,0.19094789819520253
2020,Akron,RB,0.046570102126130095
2020,Akron,SAF,0.07411129866044457
2020,Akron,TE,0.030632371445634007
2020,Akron,WR,0.19788139627451887
2020,Alabama,CB,0.6123065558551275
2020,Alabama,DT,0.5869564008340051
2020,Alabama,EDGE,0.04472776972715636
2020,Alabama,IOL,0.008064578452464924
2020,Alabama,LB,0.4606530776562233
2020,Alabama,OT,0.16268029756251592
2020,Alabama,QB,0.8897891550044704
2020,Alabama,RB,0.616103996194737
2020,Alabama,SAF,0.07692613148192005
2020,Alabama,TE,0.24232334942831596
2020,Alabama,WR,1.041832337226724
2020,App State,CB,0.35047519715887887
2020,App State,DT,0.2542236432996794
2020,App State,EDGE,0.08070542293097666
2020,App State,LB,0.31594906631590397
2020,App State,QB,0.7747373760940637
2020,App State,RB,0.15383934156212495
2020,App State,SAF,0.11559351945759878
2020,App State,TE,0.18320942423574005
2020,App State,WR,0.4673839527584119
2020,Arizona,CB,0.27780527724363924
2020,Arizona,DT,0.2879537748457325
2020,Arizona,EDGE,0.06637017629832133
2020,Arizona,LB,0.4104316488353411
2020,Arizona,QB,0.6645127951448817
2020,Arizona,RB,0.2987924179009872
2020,Arizona,SAF,0.3233360147074138
2020,Arizona,TE,0.07755813087816528
2020,Arizona,WR,0.3603155040613979
2020,Arizona State,CB,0.32067347277013886
2020,Arizona State,DT,0.5537074416425253
2020,Arizona State,EDGE,0.07819761890929659
2020,Arizona State,LB,0.3654064388622055
2020,Arizona State,QB,0.5874868451091744
2020,Arizona State,RB,0.08798053190283209
2020,Arizona State,SAF,0.2705543258189605
2020,Arizona State,TE,0.1180807654575802
2020,Arizona State,WR,0.29325153948592564
2020,Arkansas,CB,0.37544314261303346
2020,Arkansas,DT,0.24507368722320366
2020,Arkansas,EDGE,0.027977693138228097
2020,Arkansas,LB,0.3988030658410618
2020,Arkansas,QB,0.5881229189812729
2020,Arkansas,RB,0.35793416289464647
2020,Arkansas,SAF,0.12982276338450435
2020,Arkansas,TE,0.14238468773885118
2020,Arkansas,WR,0.32237403386606134
2020,Arkansas State,CB,0.0761607666693557
2020,Arkansas State,DT,0.2536878082198686
2020,Arkansas State,EDGE,0.1448641527216601
2020,Arkansas State,LB,0.20594915397005079
2020,Arkansas State,OT,0.046423759944731656
2020,Arkansas State,QB,0.4850845955252796
2020,Arkansas State,RB,0.20430027119614338
2020,Arkansas State,SAF,0.1783191519065173
2020,Arkansas State,TE,0.10041783099843449
2020,Arkansas State,WR,0.26767497363702475
2020,Army,CB,0.17913298432709077
2020,Army,DT,0.14673515849539337
2020,Army,LB,0.268590896553338
2020,Army,QB,0.3521284919347921
2020,Army,RB,0.33851537795412767
2020,Army,SAF,0.03685763890381124
2020,Army,TE,0.08486499946443626
2020,Army,WR,0.15594419954263478
2020,Auburn,CB,0.4407157105898295
2020,Auburn,DT,0.3624006109448535
2020,Auburn,EDGE,0.20582489183687733
2020,Auburn,LB,0.516009785173684
2020,Auburn,QB,0.6748183030218018
2020,Auburn,RB,0.2819816440040564
2020,Auburn,SAF,0.2211131185337942
2020,Auburn,TE,0.13498079069824326
2020,Auburn,WR,0.44627526158246145
2020,BYU,CB,0.061107896727910616
2020,BYU,DT,0.08034566277577684
2020,BYU,EDGE,0.025156550712749453
2020,BYU,LB,0.08294324687445676
2020,BYU,QB,0.13208023787670148
2020,BYU,RB,0.03849462775778367
2020,BYU,SAF,0.02828595748728588
2020,BYU,TE,0.12417950874769917
2020,BYU,WR,0.13201212415296923
2020,Ball State,CB,0.21486570384654424
2020,Ball State,DT,0.13782405046953777
2020,Ball State,EDGE,0.01302770603166142
2020,Ball State,LB,0.40463713533014956
2020,Ball State,QB,0.4579585446630524
2020,Ball State,RB,0.2073610102575248
2020,Ball State,SAF,0.2685734290076123
2020,Ball State,TE,0.07971814616359642
2020,Ball State,WR,0.30542568096494016
2020,Baylor,CB,0.3626275572881615
2020,Baylor,DT,0.2411561285832038
2020,Baylor,EDGE,0.05508159831535844
2020,Baylor,LB,0.3529537908655824
2020,Baylor,QB,0.9654914267695112
2020,Baylor,RB,0.36561022128300397
2020,Baylor,SAF,0.308287708428305
2020,Baylor,TE,0.21807058439765192
2020,Baylor,WR,0.43624872351309163
2020,Boise State,CB,0.28768340596538866
2020,Boise State,DT,0.3891913546325837
2020,Boise State,EDGE,0.18004788725912169
2020,Boise State,LB,0.40916702465044
2020,Boise State,QB,0.6320799108716614
2020,Boise State,RB,0.22572016123687028
2020,Boise State,SAF,0.21302330030676683
2020,Boise State,TE,0.24459035792819353
2020,Boise State,WR,0.3890809887732066
2020,Boston College,CB,0.2421662579103604
2020,Boston College,DT,0.24751653378753244
2020,Boston College,EDGE,0.17907300837977325
2020,Boston College,LB,0.4844922000688493
2020,Boston College,QB,0.24959027171005332
2020,Boston College,RB,0.28417526248942904
2020,Boston College,SAF,0.0812637652551747
2020,Boston College,TE,0.20662052055327837
2020,Boston College,WR,0.18771293683493478
2020,Bowling Green,CB,0.23524758003784646
2020,Bowling Green,DT,0.1919502116073165
2020,Bowling Green,LB,0.2890120827460244
2020,Bowling Green,OT,0.027197908182151537
2020,Bowling Green,QB,0.21459697658017657
2020,Bowling Green,RB,0.16878997605538154
2020,Bowling Green,SAF,0.017447077632882137
2020,Bowling Green,TE,0.20649343055549238
2020,Bowling Green,WR,0.15030354504458157
2020,Buffalo,CB,0.28024912701045507
2020,Buffalo,DT,0.22126799452645868
2020,Buffalo,EDGE,0.32185589036264595
2020,Buffalo,LB,0.45291217110209575
2020,Buffalo,QB,0.5151622276451812
2020,Buffalo,RB,0.4147339456513316
2020,Buffalo,SAF,0.21368507886463017
