season,team,war,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct,implied_wins
2014,Air Force,5.210305423791534,12,8.0,0.6666666666666666,9,0.75,
2014,Akron,2.2236602555918066,11,5.0,0.4545454545454545,4,0.3636363636363636,
2014,Alabama,8.527368939260846,13,10.5,0.8076923076923077,11,0.8461538461538461,
2014,App State,3.501878358818874,10,5.5,0.55,6,0.6,
2014,Arizona,6.723275173504805,14,8.0,0.5714285714285714,10,0.7142857142857143,
2014,Arizona State,5.364764479007411,12,8.5,0.7083333333333334,9,0.75,
2014,Arkansas,5.863243247044747,12,8.0,0.6666666666666666,6,0.5,
2014,Arkansas State,4.4375882397963755,12,6.0,0.5,6,0.5,
2014,Army,2.633446627752472,10,3.5,0.35,3,0.3,
2014,Auburn,6.915871437126745,12,6.5,0.5416666666666666,7,0.5833333333333334,
2014,BYU,-0.11456695384167849,12,7.0,0.5833333333333334,7,0.5833333333333334,
2014,Ball State,2.857795579860078,10,4.5,0.45,4,0.4,
2014,Baylor,6.856780616807662,12,9.5,0.7916666666666666,10,0.8333333333333334,
2014,Boise State,6.571731161628845,14,11.0,0.7857142857142857,12,0.8571428571428571,
2014,Boston College,4.169983258641131,12,6.5,0.5416666666666666,6,0.5,
2014,Bowling Green,4.685255366279949,13,5.5,0.4230769230769231,7,0.5384615384615384,
2014,Buffalo,3.914245750538236,9,4.0,0.4444444444444444,3,0.3333333333333333,
2014,California,5.444011013304638,11,4.5,0.4090909090909091,4,0.3636363636363636,
2014,Central Michigan,3.6928794917560137,12,6.0,0.5,6,0.5,
2014,Cincinnati,3.738980482567335,13,7.0,0.5384615384615384,9,0.6923076923076923,
2014,Clemson,5.88240458300324,12,8.5,0.7083333333333334,9,0.75,
2014,Colorado,4.71732117666916,12,3.5,0.2916666666666667,2,0.1666666666666666,
2014,Colorado State,5.197089613643529,12,7.5,0.625,9,0.75,
2014,Duke,3.48228847242976,12,7.5,0.625,8,0.6666666666666666,
2014,East Carolina,4.388691442710803,12,8.0,0.6666666666666666,7,0.5833333333333334,
2014,Eastern Michigan,1.9410662305386979,11,1.0,0.0909090909090909,1,0.0909090909090909,
2014,Florida,4.796700787391948,11,6.0,0.5454545454545454,6,0.5454545454545454,
2014,Florida Atlantic,2.4659833438175367,12,4.0,0.3333333333333333,3,0.25,
2014,Florida International,1.8208068830107387,10,4.5,0.45,3,0.3,
2014,Florida State,6.463904038468109,13,8.5,0.6538461538461539,12,0.9230769230769232,
2014,Fresno State,4.8423980754288,13,5.0,0.3846153846153846,5,0.3846153846153846,
2014,Georgia,5.8706608150679545,12,9.5,0.7916666666666666,9,0.75,
2014,Georgia Southern,4.023043370223733,11,7.5,0.6818181818181818,8,0.7272727272727273,
2014,Georgia State,2.8909923010228975,11,1.5,0.1363636363636363,0,0.0,
2014,Georgia Tech,4.608274517421999,13,10.0,0.7692307692307693,10,0.7692307692307693,
2014,Hawai'i,2.5572719857756296,12,4.5,0.375,3,0.25,
2014,Houston,3.856708746606062,12,8.0,0.6666666666666666,7,0.5833333333333334,
2014,Idaho,2.9116373812556646,11,2.0,0.1818181818181818,1,0.0909090909090909,
2014,Illinois,4.130249071412878,12,3.0,0.25,5,0.4166666666666667,
2014,Indiana,3.24171179949364,11,3.0,0.2727272727272727,3,0.2727272727272727,
2014,Iowa,4.992425513329331,12,7.0,0.5833333333333334,6,0.5,
2014,Iowa State,3.8076996521246462,11,2.5,0.2272727272727272,2,0.1818181818181818,
2014,Kansas,3.0538417608915935,11,3.0,0.2727272727272727,2,0.1818181818181818,
2014,Kansas State,5.856821765557829,12,7.5,0.625,8,0.6666666666666666,
2014,Kent State,1.945490094648622,11,3.0,0.2727272727272727,2,0.1818181818181818,
2014,Kentucky,3.944837574573507,11,4.5,0.4090909090909091,4,0.3636363636363636,
2014,LSU,5.34885831633388,12,6.5,0.5416666666666666,7,0.5833333333333334,
2014,Louisiana,4.551748175105623,12,7.0,0.5833333333333334,8,0.6666666666666666,
2014,Louisiana Tech,4.744888198011511,13,9.5,0.7307692307692307,9,0.6923076923076923,
2014,Louisville,5.46256707362183,12,8.0,0.6666666666666666,8,0.6666666666666666,
2014,Marshall,6.050403375944989,13,11.5,0.8846153846153846,12,0.9230769230769232,
2014,Maryland,4.122417434411268,12,5.0,0.4166666666666667,6,0.5,
2014,Massachusetts,3.792230178123496,12,5.5,0.4583333333333333,3,0.25,
2014,Memphis,4.412697895990831,12,9.0,0.75,9,0.75,
2014,Miami,4.828786148857362,12,6.0,0.5,5,0.4166666666666667,
2014,Miami (OH),1.9790978998667452,11,3.0,0.2727272727272727,2,0.1818181818181818,
2014,Michigan,3.557396392236932,12,5.0,0.4166666666666667,5,0.4166666666666667,
2014,Michigan State,5.657711394508945,12,9.0,0.75,10,0.8333333333333334,
2014,Middle Tennessee,2.92188596976417,11,4.0,0.3636363636363636,5,0.4545454545454545,
2014,Minnesota,4.065799890945063,12,6.5,0.5416666666666666,7,0.5833333333333334,
2014,Mississippi State,6.445613856019705,12,8.5,0.7083333333333334,9,0.75,
2014,Missouri,5.871658701512233,13,8.5,0.6538461538461539,10,0.7692307692307693,
2014,NC State,5.045504324858591,12,5.5,0.4583333333333333,7,0.5833333333333334,
2014,Navy,0.2150961867839284,12,5.5,0.4583333333333333,7,0.5833333333333334,
2014,Nebraska,4.747701105447007,12,9.0,0.75,8,0.6666666666666666,
2014,Nevada,3.9908748286920925,12,7.0,0.5833333333333334,6,0.5,
2014,New Mexico,2.931483074052008,12,4.0,0.3333333333333333,4,0.3333333333333333,
2014,New Mexico State,2.900940826752143,11,2.0,0.1818181818181818,1,0.0909090909090909,
2014,North Carolina,4.012266007934583,12,3.5,0.2916666666666667,5,0.4166666666666667,
2014,North Texas,1.4097885292491295,11,3.0,0.2727272727272727,3,0.2727272727272727,
2014,Northern Illinois,4.8776421320868035,13,8.0,0.6153846153846154,10,0.7692307692307693,
2014,Northwestern,3.397733401884127,11,5.0,0.4545454545454545,4,0.3636363636363636,
2014,Notre Dame,5.029778114094894,13,8.0,0.6153846153846154,8,0.6153846153846154,
2014,Ohio,2.905358104536496,11,4.0,0.3636363636363636,5,0.4545454545454545,
2014,Ohio State,8.549622453981598,15,12.5,0.8333333333333334,14,0.9333333333333332,
