n,brier,logloss,accuracy,calibration_intercept,calibration_slope,margin_mae,margin_rmse,margin_r2,margin_r,margin_bias,variant,season
724,0.20468791057655397,0.5971649686913046,0.6795580110497238,0.10721294334421475,0.7076690191184366,13.584455850805846,17.09025259951036,0.26697868455940565,0.5517411711088084,0.29657076065179,configured,2022
729,0.19489103634591617,0.5693463525806516,0.6954732510288066,0.034681399890449376,1.0122777967031102,13.552330513379097,16.941387507980064,0.2997511817080537,0.5483475504067067,-0.3233728038867049,configured,2023
741,0.2061384138023479,0.5933678222926926,0.6558704453441295,0.0710932974178605,0.8458395681864699,13.821820471329833,17.593163687443468,0.252197931035121,0.5099595403991982,-0.8584611710552429,configured,2024
719,0.20233584072259,0.5879781255166049,0.6842837273991655,0.04958537065835497,0.9682531342645708,13.721713617409847,17.248616121378134,0.2979245634982034,0.5470127633271605,-0.6397562222295077,configured,2025
724,0.20790679478430937,0.6022298211600837,0.6602209944751382,0.06627854493962124,0.8639271182977544,13.577069045362629,17.096496833634845,0.2664429414088756,0.5177910229194188,-0.133259775430487,no_player_pff_or_war,2022
729,0.19986462233876176,0.5803130325932662,0.6762688614540466,-0.004578094160221343,1.1879169663891591,13.66866450155106,17.17136432847519,0.280610594725741,0.534268173619623,-0.5241333270840558,no_player_pff_or_war,2023
741,0.21375781713619924,0.6149708292602774,0.6558704453441295,0.0936163337333911,0.7699032762315468,14.381254849462206,18.28024403453889,0.19264831912125702,0.4546089940903306,-0.9424924594673371,no_player_pff_or_war,2024
719,0.21526130063365775,0.6200898195347349,0.650904033379694,0.10551877281880227,0.79090784306428,14.547034509183005,18.314223016158316,0.2084975531103842,0.46092837118215313,-0.7562351969442734,no_player_pff_or_war,2025
724,0.20641324447252182,0.5983954475265243,0.6685082872928176,0.08852421281826632,0.805850008997825,13.570615113484436,16.981801053173932,0.276252398591772,0.5329159799324549,-0.08961397114083713,no_war,2022
729,0.19714629772726955,0.5737491152692831,0.6817558299039781,0.020920190271363714,1.1006348955789995,13.609403686440208,17.023467164897163,0.29294944643446086,0.5422985937902618,-0.5318733655666491,no_war,2023
741,0.20703728025740747,0.5967528961814712,0.659919028340081,0.07556121098379377,0.8420285803425149,14.02423662339875,17.845780939921745,0.23056862612150386,0.49057605018554457,-0.9489229497800232,no_war,2024
719,0.20556470330962318,0.5958999698631026,0.6842837273991655,0.06667455246979125,0.9353371320385019,13.904158001605609,17.53373451298315,0.2745222158669981,0.5253489422657786,-0.7668803890571873,no_war,2025
724,0.2071955534404912,0.6040184156205904,0.6781767955801105,0.11488066062486334,0.6859420540686583,13.676853478770063,17.163797196174396,0.2606562792254937,0.5468739493446525,0.26248137876025857,no_qb_player_signal,2022
729,0.19477226403237521,0.5693573420376312,0.6844993141289437,0.029756973113039768,1.0327270031319034,13.602946784231147,16.933574325465433,0.3003969269515421,0.5487354774158169,-0.3336487233745877,no_qb_player_signal,2023
741,0.2036668875998398,0.5876009711172931,0.6761133603238867,0.05694749615887411,0.8766821189004844,13.65161591495426,17.39508326868608,0.26894205783947167,0.5241416073290611,-0.7638709837156293,no_qb_player_signal,2024
719,0.1998091034753445,0.5810372842756898,0.6828929068150209,0.03341608823244958,1.0267191721799656,13.637964437454837,17.145237117782933,0.3063150750716034,0.5548832548632624,-0.6194199853522837,no_qb_player_signal,2025
724,0.21418057546196753,0.6168188238307891,0.6629834254143646,0.07697166295496652,0.818582745623515,13.962630287159548,17.572028884356076,0.22506824622288546,0.4782000105900228,-0.13631469869601154,no_talent_shrink,2022
729,0.2051809815107889,0.593535714228153,0.6680384087791496,-0.01047176965598403,1.1705970960279384,14.100056233693902,17.704506790851607,0.2352454010410826,0.4870993501642248,-0.4858383177888438,no_talent_shrink,2023
741,0.21088614458801308,0.608703742862469,0.6626180836707153,0.046224135544404264,0.9545600394711907,14.610462193528187,18.335472192693047,0.18776261830119234,0.43825864097887135,-1.1087294734914492,no_talent_shrink,2024
719,0.21738158932316093,0.6235568507447129,0.6481223922114048,0.08391876144295374,0.872194925612454,14.8416380094081,18.65784117354191,0.1785180059847964,0.4252312409708433,-0.9439133981847526,no_talent_shrink,2025
724,0.2046027305689379,0.602070075581823,0.6795580110497238,0.13680074143307072,0.6641877175791611,14.52207745816901,18.352363111099585,0.15471409581617224,0.5318815009126795,0.6394042192198783,talent_only_od,2022
729,0.20094710462528875,0.5875767919845178,0.700960219478738,0.0347942220152681,0.9899120019308797,13.736563117842055,17.43347233300337,0.25848109889804405,0.5092183577221564,-0.228403956798784,talent_only_od,2023
741,0.21584865298789394,0.6160114820150654,0.6383265856950068,0.11039719602522209,0.7828501729954689,14.20580819552617,18.155671907563587,0.2036143470298325,0.4621050199552834,-1.0031274223923707,talent_only_od,2024
719,0.20517556469993808,0.594323207110115,0.6717663421418637,0.01435477397062685,1.0987651161344156,13.89704329101092,17.390722291134384,0.28630853182241056,0.5402718366242713,-0.5804886586763128,talent_only_od,2025
724,0.20972223209768429,0.6070016534523032,0.6685082872928176,0.07372638072382072,0.8297646979456901,13.851483972607287,17.37513466994851,0.24233714037168907,0.4997847335486891,0.0443956587994185,no_opponent_adjustment,2022
729,0.19860260524463827,0.5785681160378949,0.691358024691358,0.01833867629980686,1.069562188498322,13.73019756000524,17.222573161199243,0.2763134378778137,0.5260338785709536,-0.40378801020325206,no_opponent_adjustment,2023
741,0.20824488117242876,0.5993513903762931,0.6639676113360324,0.05465388801140552,0.8867460312626013,14.061698174330862,17.83173851748273,0.2317790443657508,0.4864581858281789,-0.881818467759678,no_opponent_adjustment,2024
719,0.20476185651131218,0.5948220110336279,0.6731571627260083,0.05808790393561859,0.959251700133829,13.979214285380182,17.496832075275073,0.27757276119503904,0.5287010255759003,-0.8007298199650495,no_opponent_adjustment,2025
724,0.2060343321726869,0.6020522242379578,0.6726519337016574,0.11402960069888639,0.7021156924638573,13.67493233422581,17.188254302329277,0.2585477608664296,0.5478352231796201,0.2567742711122668,team_strength_scalar,2022
729,0.19592019584870266,0.5724897798061879,0.6858710562414266,0.027279448162305875,1.0337807862658244,13.605754596255165,16.997017073465482,0.29514488910261505,0.5437534057555377,-0.3215286070375335,team_strength_scalar,2023
741,0.20665899466869786,0.5953005275808781,0.6612685560053981,0.07029049860986604,0.8328995891233448,13.803342020011266,17.51981688767952,0.2584201836868937,0.5160821078379582,-0.765402521953731,team_strength_scalar,2024
719,0.20135858215953975,0.5849984165498325,0.6801112656467315,0.04231404729361747,0.9754987984870606,13.619268916794766,17.16425996230678,0.3047749177828094,0.5528790781943503,-0.5630712083174376,team_strength_scalar,2025
724,0.20588002656810253,0.6009745206866585,0.6767955801104972,0.10914872259501067,0.7179635762217237,13.59765360988878,17.104766078576755,0.2657331550649359,0.5471660083453268,0.22784659051770823,off_def_edges_only,2022
729,0.19597363813140178,0.5727579376808954,0.6858710562414266,0.020036190293255596,1.0575665870759592,13.586130093567217,16.991551941008048,0.29559808712334323,0.5439550166334601,-0.3240753861666283,off_def_edges_only,2023
741,0.2062633416560595,0.5944724077490328,0.6653171390013495,0.07084777225663744,0.8467373485338662,13.800003052703506,17.520592786872776,0.2583544976211023,0.5154272231135082,-0.8328949873584435,off_def_edges_only,2024
719,0.20128454249582328,0.5848401626922559,0.6801112656467315,0.043200943461889144,0.9822025929819933,13.62368669715545,17.16834173378818,0.30444422046902175,0.5527334834948391,-0.5892362243266115,off_def_edges_only,2025
724,0.2388009919684298,0.6705287074787457,0.5911602209944752,0.04102613396005535,1.0524436378613982,15.305864432159511,19.761915506874153,0.019883464350832103,0.14607063280214064,-0.5555266125087454,returning_only,2022
729,0.234919217530335,0.6623829474359193,0.607681755829904,-0.15867459640160725,1.6405556660798388,15.468710845672604,19.74902604175873,0.048418923712812534,0.23568983769726598,-0.4645721863615132,returning_only,2023
741,0.24053268021035423,0.6738298538466169,0.5708502024291497,0.13760549240268571,0.7034136056147018,15.94880457395305,20.46644108157323,-0.012006809422591358,0.07142889073317163,-1.3477448319618437,returning_only,2024
719,0.2456491680186969,0.6845612084967237,0.5744089012517385,0.377978252133588,-0.011406719782165906,16.50902880104578,20.902474937786796,-0.031028541452928105,-0.025102385307233556,-1.0854982617947069,returning_only,2025
724,0.21990952890132764,0.6295746642427058,0.6339779005524862,-0.01286725941054817,1.1560789313376483,14.26232931831986,18.069518935807793,0.18056818622860338,0.43306935635484817,-0.313047326123957,prior_pythag_only,2022
729,0.21190847591965994,0.6134759050265225,0.6776406035665294,-0.14051403830131937,1.570793556484507,14.30879706014648,18.20370394468654,0.19151129056611804,0.45894012652710453,-0.4731259020370989,prior_pythag_only,2023
741,0.2232883317515784,0.6365926677161386,0.6248313090418354,0.04593428406633891,0.9293735484732774,15.034616090512646,18.793710607874154,0.14665657640552232,0.3865827593043483,-1.0516716704640086,prior_pythag_only,2024
719,0.2145012314755651,0.6186411960725346,0.6495132127955494,0.009262905278845497,1.1476492979991273,14.829910053303307,18.722475545826914,0.17281660249503084,0.4219926110706508,-1.0245331664311854,prior_pythag_only,2025
