id,player,team,position,group,overall,key,waa,war,snaps
33095,Xavier Gayten,Mississippi State,HB,RB,77,xavier gayten,-0.0660765039529548,0.10190752481692485,239.5
33098,Owen Heinecke,Oklahoma,WILL,LB,83,owen heinecke,0.3209211010855324,0.46826844770406234,506.0
33100,Devon Jordan,Baylor,CB,CB,77,devon jordan,-0.01536818364835298,0.08310409839749644,536.0
33102,Jeremiah Newcombe,Oklahoma,CB,CB,74,jeremiah newcombe,-0.017646053739031838,0.004583696498930438,121.0
33103,Zion Ragins,Mississippi State,WR,WR,77,zion ragins,-0.06990976783375939,-0.03152603134562285,171.5
33104,Xavier Robinson,Oklahoma,HB,RB,83,xavier robinson,0.08481511830684933,0.25279914707672896,239.5
33105,Markus Strong,Clemson,DT,DT,76,markus strong,-0.01406035441702168,0.027113045454842846,211.0
33108,Seth Freeman,Oklahoma,TE,TE,63,seth freeman,-0.01503213910251526,-0.008872455587986307,18.5
33114,Rondarius Porter,Rutgers,DT,DT,80,rondarius porter,0.08232475043368798,0.17452584730314766,472.5
33115,Nathan Robinson,Tennessee,DT,DT,78,nathan robinson,0.00554364463207102,0.06359618710543452,297.5
33117,Jamal Wallace,Utah,DT,DT,72,jamal wallace,-0.07721396255701883,-0.036040562685154306,211.0
33119,Jeremias Heard,Tennessee,RT,OL,75,jeremias heard,-0.0027499198441067133,0.0071821833445209,91.0
33122,Robert Bourdon,Texas A&M,RT,OL,71,robert bourdon,-0.012930368225035582,-0.0029982650364079695,91.0
33123,Graham Gillespie,North Texas,FS,SAF,73,graham gillespie,-0.011756093555847802,0.05631103423890445,370.5
33125,Spencer Shannon,Texas,TE,TE,71,spencer shannon,-0.008566039525787371,0.003919805436095646,37.5
33126,Josh Raymond,Georgia Southern,RT,OL,68,josh raymond,-0.02698771535557383,-0.01705561216694622,91.0
33128,Glenn Seabrooks III,Vanderbilt,DT,DT,81,glenn seabrooks,0.09987551722736601,0.17627071177634687,391.5
33129,Gunner Givens,Vanderbilt,LG,OL,73,gunner givens,-0.00420419334228702,0.005727909846340593,91.0
33133,Derek Eusebio,Arizona State,WR,WR,78,derek eusebio,0.003986690046620788,0.04237042653475734,171.5
33134,Patrick Mahoney III,Illinois,TE,TE,64,patrick mahoney,-0.010243661107176264,-0.004083977592647308,18.5
33138,Casey Jean-Baptiste,Southern Miss,RG,OL,66,casey jean baptiste,-0.13908568651867761,-0.08271281512388462,516.5
33141,Jalen Hoffman,Michigan,TE,TE,69,jalen hoffman,-0.008292215362946224,0.004193629598936795,37.5
33143,Alan Soukup,Minnesota,TE,TE,64,alan soukup,-0.017888609604099725,-0.01172892608957077,18.5
33146,Donielle Hayes,Minnesota,WR,WR,72,donielle hayes,-0.04249889103669799,-0.018439114520810648,107.5
33148,Matt Kingsbury,Minnesota,WILL,LB,73,matt kingsbury,0.06001460818394091,0.2073619548024708,506.0
33149,Pierce Walsh,Minnesota,TE,TE,69,pierce walsh,-0.009642778161964946,0.014995955896150874,74.0
33150,Drew Wagner,Northwestern,WR,WR,77,drew wagner,0.029705443060335835,0.0930442035626253,283.0
33151,Dylan Roberts,Northwestern,DT,DT,68,dylan roberts,-0.05935649554679343,-0.03633061315399715,118.0
33153,Jack Florentine,Northwestern,TE,TE,62,jack florentine,-0.07571997354531584,-0.05108123948720003,74.0
33154,Nigel Glover,Northwestern,WILL,LB,69,nigel glover,-0.04893982641466437,-0.026808604392908893,76.0
33155,Will Smith Jr.,Ohio State,DT,DT,80,will smith,0.06202736420143319,0.10320076407329773,211.0
33159,Sage Clawges,Rutgers,CB,CB,72,sage clawges,-0.011061841358908893,0.011167908879053383,121.0
33164,Jesse Ofurie,Rutgers,FS,SAF,71,jesse ofurie,-0.07407038501340733,-0.03640841146975224,205.0
33165,Nick Oliveira,Rutgers,LG,OL,70,nick oliveira,-0.017621116646889746,-0.007689013458262131,91.0
33166,Michael Robinson II,Massachusetts,WILL,LB,68,michael robinson,-0.32252386091202395,-0.23181497065180245,311.5
33169,Walker Lyons,BYU,TE,TE,81,walker lyons,0.07949356646686839,0.16955812812525123,270.5
33171,Kaylon Miller,USC,RG,OL,71,kaylon miller,-0.011573149133962488,-0.001641045945334876,91.0
