team,war,massey,f
Oregon,13.352595695221998,0.39250081180275276,1.979471233222878
Ohio State,13.080242292365964,0.3479567775753485,2.087137632878295
Notre Dame,12.543299577191348,0.347513145563525,2.0020514308632666
Texas,12.261702925163151,0.5209025579617886,1.8205913213485931
Ole Miss,12.135270613892482,0.5512620334686852,1.6071855700055155
Miami,11.767501233364474,0.38416399778377197,1.5791138274518879
LSU,11.305376492925285,0.5411895306059038,1.4573548853077747
Indiana,11.275078940683839,0.2886968033620204,1.5217782768714443
Georgia,11.062361355780522,0.5213367275000396,1.3842641408179388
Texas A&M,10.791276269359386,0.5145747716559073,1.3206715375733458
Texas Tech,10.462427400538262,0.2622799268343889,1.2717438582411233
Alabama,10.287572740606075,0.5156800335977069,1.2576200632257701
Oklahoma,9.866999102242946,0.4469138875637072,1.3258551387360429
BYU,9.723285107490822,0.29612780944530914,1.1606076618099266
Tennessee,9.567633328095813,0.5003748422707205,1.086993140362177
Auburn,9.499830835992855,0.4874744567544986,1.058581094368805
USC,9.431001747330042,0.21131499088743813,1.2632319512653787
Louisville,9.15077171400384,0.4331850743820513,1.0203529783670544
Nebraska,9.112842242857688,0.2352370183292983,1.0482804505999592
Virginia,8.903332165442343,0.32260664288927493,0.9593315965104806
Michigan,8.847810609058664,0.26258101897308517,1.1097146161189313
Penn State,8.527552495178936,0.15828037372898163,1.00190798263719
Florida,8.510664324587319,0.48309577651829916,0.8851350871775886
Washington,8.417452035638588,0.26185580167459505,0.8863247293181431
Clemson,8.403333603651209,0.37279802590315325,0.8753823042066406
Oklahoma State,8.351927560041249,0.27555948057306917,0.8308769395822548
SMU,8.164788032645765,0.3371962991598427,0.8157175973129519
Florida State,8.082204103094973,0.38425370864565467,0.8160569089244292
Missouri,7.997585729458911,0.45267299564734814,0.7671106418424237
South Carolina,7.612032224052785,0.4595308881810331,0.6863265323517802
Houston,7.397688156849015,0.21887829852879473,0.6559138230843936
UCLA,7.353472252516093,0.22235106843783975,0.756026095285506
Colorado,7.261799458699941,0.3015851294355468,0.6189392674585942
Mississippi State,6.9766374175176695,0.439688471790597,0.5624217072172661
Kansas State,6.972377348285241,0.20248973731893044,0.5520467493224841
Minnesota,6.887546219718022,0.24856560859002963,0.5929574358561247
Kentucky,6.875768946544907,0.45015573150985794,0.5402709786271798
Utah,6.436576338523174,0.25099668035940575,0.45834284894251603
Arizona,6.395751177088479,0.1845326044460271,0.45027602750075074
Arizona State,6.3398527391886965,0.25580308485226033,0.42703450832445095
California,6.324641941351639,0.28018042196369813,0.46225996147848536
UCF,6.233644419439623,0.2271504494495006,0.41228912698318243
Arkansas,6.051688515325604,0.4436872844077683,0.3761783088827455
Vanderbilt,6.014075657900347,0.43734126891710623,0.3580213610106023
Virginia Tech,6.001858765281627,0.2829961280535626,0.37212614809486355
Pittsburgh,5.944927004884935,0.2968830670518554,0.3553121103515192
North Carolina,5.891908344732914,0.2979234993392906,0.35356171993590346
Michigan State,5.84153345074422,0.17922138822425568,0.36914056365329256
Iowa,5.805145390155237,0.21422138985696512,0.353772221929034
Baylor,5.6448200558650505,0.2350417481432483,0.27707308934736513
NC State,5.638286510459724,0.28791789561384873,0.3259052076106901
TCU,5.572672545108615,0.20344976709483653,0.2789563574860848
Cincinnati,5.49837472220584,0.2082880152850451,0.2549262876567654
Wisconsin,5.437537197311016,0.18693885756222972,0.24297345776361326
Northwestern,5.196305590582254,0.21523961098427843,0.20666043802065487
Illinois,5.185161365010467,0.21492682441671776,0.20888173753533387
Maryland,5.174126847309892,0.19847205133190196,0.19716030102062357
Boise State,4.982900581926673,-0.08820628346852308,0.1503118076024063
Syracuse,4.680196772086157,0.2829113180349628,0.0910679995509501
